gene_locus	common_name
Z5203	tnaA
Z5202	tnaL
Z5204	tnaB
Z5633	malK
Z5634	lamB
Z5631	malF
Z5632	malE
Z5367	fadB
Z5630	malG
Z5635	malM
Z5668	acs
Z3403	mglC
Z3404	mglA
Z0278	yafH
Z4469	tdcB
Z3499	glpA
Z4215	ECs3749
Z4214	Z4214
Z3500	glpB
Z0460	afuA
Z5471	glpK
Z3405	mglB
Z0461	Z0461
Z3501	glpC
Z5472	glpF
Z5667	yjcH
Z6024	uncharacterized
Z0037	carA
Z3835	purL
Z4686	rplV
Z3498	glpT
Z5601	aceA
Z3604	fadJ
Z5600	aceB
Z1513	putA
Z5366	fadA
Z4116	fucO
Z4434	ygjL
Z0562	glnK
Z5666	yjcG
Z3497	glpQ
Z5082	yicE
Z0677	purK
Z3762	purM
Z2191	ydeY
Z2614	fumC
Z5406	glnA
Z4691	rplC
Z4684	rplP
Z3605	fadI
Z5251	rbsC
Z3402	yeiA
Z2189	lsrB
Z2210	ECs2103
Z2192	lsrA
Z0459	afuB
Z0444	mhpR
Z4692	rpsJ
Z4689	rplW
Z0678	purE
Z4468	tdcC
Z5252	rbsB
Z4688	rplB
Z4216	ygfJ
Z0759	citF
Z3808	hcaR
Z4470	tdcA
Z3763	purN
Z0038	carB
Z3890	yfiA
Z4687	rpsS
Z2211	Z2211
Z1190	AIG67295.1
Z2187	lsrG
Z2188	yneB
Z0426	prpR
Z4896	yhiP
Z3401	preT
Z4467	tdcD
Z5583	purH
Z1421	agp
Z4208	ygeV
Z4685	rpsC
Z4690	rplD
Z2194	ydeV
Z0432	codB
Z4942	dctA
Z4786	glpD
Z5032	lldD
Z5602	aceK
Z4683	rpmC
Z3735	purC
Z1515	putP
Z4991	xylF
Z2306	aldA
Z4117	fucA
Z4681	rpsQ
Z0878	sdhB
Z5659	yjcB
Z4477	yhaE
Z2190	ydeZ
Z4875	Z4875
Z5812	rplI
Z4462	yhaM
Z0877	sdhA
Z0712	ylcC
Z5809	rpsF
Z4466	tdcE
Z4822	ugpB
Z5744	aspA
Z4874	Z4874
Z3392	Z3392
Z1952	dadA
Z4876	Z4876
Z2292	ydcH
Z5030	lldP
Z4803	recQ
Z3505	rhmD
Z4463	yhaO
Z4996	malS
Z2293	uncharacterized
Z0879	uncharacterized
Z0839	speF
Z1953	dadX
Z0608	Z0608
Z4820	ugpA
Z3496	uncharacterized
Z3393	Z3393
Z3574	purF
Z5582	purD
Z4354	gpr
Z4118	fucP
Z3761	upp
Z0039	uncharacterized
Z1544	acpS2
Z3575	cvpA
Z2278	ydcT
Z1062	bssR
Z4478	yhaF/garL
Z5936	yjiL
Z4981	cspA
Z3804	csiE
Z3718	Z3718
Z2279	Z2279
Z3427	fruB
Z5957	yjjM
Z3407	galS
Z4679	rplX
Z3391	Z3391
Z5866	argI
Z4479	yhaU
Z0463	Z0463
Z4824	livF
Z5663	yjcD
Z0880	sucA
Z0816	glnW
Z4480	yhaG
Z4665	rpoA
Z3772	guaB
Z0873	gltA
Z5245	asnA
Z4078	ygcP
Z4620	yhdG
Z1294	pyrD
Z1860	purB
Z1748	ndh
Z2298	Z2298
Z3056	uncharacterized
Z2956	yecI
Z2954	araF
Z3691	ucpA
Z5856	pyrB
Z5796	yjfO
Z3760	uraA
Z5405	glnL
Z3176	yeeF
Z3390	Z3390
Z2615	fumA
Z4725	yhfC
Z2812	ydjJ
Z5937	yjiM
Z5285	ilvC
Z2845	yeaW
Z5224	Z5224
