,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene-Z5203,1003000.911,9.15954768,2.24083199,4.087565565,4.36E-05,0.022294102
gene-Z5202,317153.5523,9.043873513,2.232139073,4.051662203,5.09E-05,0.022294102
gene-Z5204,352262.7322,9.031715137,2.231136884,4.048032732,5.16E-05,0.022294102
gene-Z5633,176493.8575,8.96174775,2.22603787,4.025873896,5.68E-05,0.022294102
gene-Z5634,443633.3471,8.715323806,2.205952824,3.950820575,7.79E-05,0.023325118
gene-Z5631,125428.2443,8.535482192,2.192078347,3.893785185,9.87E-05,0.023325118
gene-Z5632,334334.56,8.450460111,2.184596202,3.868202326,0.000109641,0.023325118
gene-Z5367,119029.5432,8.210617493,2.165319511,3.791873417,0.000149515,0.023325118
gene-Z5630,83242.76404,8.166614377,2.161964217,3.777404969,0.000158471,0.023325118
gene-Z5635,114469.1049,8.092536238,2.155453433,3.754447261,0.000173724,0.023325118
gene-Z5668,64433.24645,8.061616253,2.15341751,3.743638294,0.000181375,0.023325118
gene-Z3403,36842.30626,7.993124116,2.148540973,3.720256778,0.00019902,0.023325118
gene-Z3404,127318.1527,7.976480546,2.145574491,3.71764326,0.00020109,0.023325118
gene-Z0278,222248.8813,7.948809082,2.142961045,3.709264385,0.000207862,0.023325118
gene-Z4469,13064.27074,7.8791759,2.142475586,3.677603587,0.000235435,0.024657942
gene-Z3499,23284.06467,7.736781393,2.127505348,3.636550856,0.000276313,0.026780783
gene-Z4215,11011.08692,7.681079615,2.125839335,3.613198557,0.000302443,0.026780783
gene-Z4214,21358.50117,7.653671039,2.120452783,3.609451293,0.000306845,0.026780783
gene-Z3500,25182.8826,7.531883609,2.109210766,3.570948778,0.00035569,0.029409985
gene-Z0460,20421.28207,7.374756482,2.095712468,3.518973426,0.00043322,0.032568857
gene-Z5471,171464.0127,7.327337301,2.089035027,3.507522471,0.0004523,0.032568857
gene-Z3405,146530.3974,7.320875479,2.08851448,3.505302716,0.000456088,0.032568857
gene-Z0461,27173.76636,7.238167145,2.08271018,3.475359756,0.000510169,0.034846738
gene-Z3501,22114.6088,7.173807661,2.077227066,3.453550061,0.00055326,0.036215452
gene-Z5472,63027.04029,6.985219453,2.058551752,3.393268809,0.000690638,0.04339971
gene-Z5667,2992.433167,7.014230565,2.076226975,3.378354414,0.00072921,NA
gene-Z6024,60145.41498,6.933718985,2.053852831,3.375957069,0.000735594,0.043450174
gene-Z0037,26925.89165,-6.882338057,2.049587234,-3.35791419,0.00078533,0.043450174
