GeneID	BaseMean	Log2FC	StdErr	Wald_Stats	Pval	P_adj	Name	Notes
ECs0970	1664.460258	2.27704378	0.315466408	7.218022962	5.27E-13	3.43E-12	aat	leucyl/phenylalanyl-tRNA--protein transferase
ECs0118	441365.3321	2.37634718	0.343374803	6.920563647	4.50E-12	2.72E-11	aceE	pyruvate dehydrogenase subunit E1
ECs0119	61041.04954	2.626837373	0.326255568	8.051471402	8.18E-16	6.54E-15	aceF	dihydrolipoamide acetyltransferase
ECs4934	3457.344664	-3.574873109	0.403050337	-8.869545021	7.34E-19	7.12E-18	aceK	bifunctional isocitrate dehydrogenase kinase/phosphatase
ECs2014	768.8668022	-0.306239226	0.301218121	-1.016669332	0.30931076	0.41502292	acpD	azoreductase
ECs1472	64448.82114	0.821556208	0.255801137	3.211698816	0.001319526	0.003140043	acpP	acyl carrier protein
ECs3429	1195.659611	1.840219486	0.301284146	6.10792008	1.01E-09	4.97E-09	acpS	4'-phosphopantetheinyl transferase
ECs3332	1795.086393	1.926663421	0.31161315	6.182869426	6.29E-10	3.15E-09	acrD	aminoglycoside/multidrug efflux system
ECs5051	8469.686002	-6.942984921	0.32551451	-21.32926398	6.08E-101	1.31E-98	acs	acetyl-CoA synthetase
ECs5049	1384.217526	-3.711080272	0.354587116	-10.46591966	1.24E-25	1.84E-24	actP	acetate permease
ECs4125	1473.118529	-0.583275114	0.271552653	-2.14792641	0.031719602	0.058218978	acuI	acrylyl-CoA reductase AcuI
ECs0527	9024.377423	1.729709666	0.314107286	5.506747992	3.66E-08	1.56E-07	adk	adenylate kinase
ECs0435	126.2439098	-1.043715949	0.498050705	-2.095601792	0.03611753	0.065556953	adrA	diguanylate cyclase AdrA
ECs3554	69673.1588	2.280052241	0.315598486	7.224534786	5.03E-13	3.28E-12	alaS	alanyl-tRNA synthetase
ECs5559	19.37397228	0.997175721	1.035645845	0.962853978	0.335620808	0.444308026	alaT	tRNA
ECs5527	34.49449825	3.178073545	0.814089266	3.903839144	9.47E-05	0.000268687	alaU	tRNA
ECs5368	1.125554215	1.120969874	1.686516471	0.664665832	0.506264253	0.614553408	alaV	tRNA
ECs5490	316.1662921	0.277188843	0.376551826	0.736124018	0.461655227	0.571592813	alaW	tRNA
ECs5489	64.47463096	2.092919351	0.560202112	3.736007603	0.000186965	0.000509725	alaX	tRNA
ECs5035	7495.365664	0.753871911	0.314925887	2.393807379	0.016674503	0.032501761	alr	alanine racemase
ECs5131	332.731194	-0.7877318	0.344390461	-2.287321775	0.022177048	0.042119261	ampC	beta-lactamase
ECs0487	2553.946136	2.839693904	0.320465399	8.861156029	7.92E-19	7.66E-18	ampG	muropeptide transporter
ECs2474	3377.293912	2.472692112	0.393718132	6.280361287	3.38E-10	1.73E-09	ansA	asparaginase
ECs3833	2768.09579	-3.437680254	0.331887031	-10.35798308	3.85E-25	5.47E-24	ansB	L-asparaginase II
ECs0055	591.121368	1.348655729	0.379939226	3.549661731	0.000385726	0.001005976	apaG	ApaG protein
ECs0054	2376.890586	1.872521023	0.35651759	5.252254244	1.50E-07	6.08E-07	apaH	diadenosine tetraphosphatase
ECs5037	16274.26372	-4.252876668	0.332965305	-12.77273217	2.33E-37	6.30E-36	aphA	acid phosphatase/phosphotransferase
ECs0065	164.7369579	-3.583005511	0.5973655	-5.998012127	2.00E-09	9.60E-09	araD	L-ribulose-5-phosphate 4-epimerase
ECs2608	1105.962857	-3.346869281	0.341053787	-9.813318032	9.87E-23	1.20E-21	araG	L-arabinose transporter ATP-binding protein
ECs0446	1318.35116	0.988379573	0.298489614	3.311269559	0.000928737	0.002279282	araJ	MFS transport protein AraJ
ECs4887	1669.886853	3.13074388	0.331119724	9.455020801	3.23E-21	3.65E-20	argC	N-acetyl-gamma-glutamyl-phosphate reductase
ECs4210	1011.437372	0.841610316	0.323888728	2.598455093	0.009364429	0.019369865	argD	acetylornithine aminotransferase
ECs2454	1635.292323	-4.833240922	0.363977912	-13.2789402	3.07E-40	8.97E-39	argD	bifunctional succinylornithine transaminase/acetylornithine transaminase
ECs5404	3.074662347	-0.542072613	1.64585217	-0.329356805	0.741886012	0.814959675	argN1	tRNA
ECs5409	12.85695551	1.998305914	0.993862213	2.010646836	0.044362773	0.078778148	argN2	tRNA
ECs5454	0	NA	NA	NA	NA	NA	argN4	tRNA
ECs5472	3.235670781	0.950156149	1.472352065	0.645332167	0.518711951	0.626135449	argN5	tRNA
ECs5405	11.86952538	-0.317434353	1.269756838	-0.249996175	0.802590306	0.860668312	argO1	tRNA
ECs5410	66.19446458	2.406059712	0.607977578	3.957481002	7.57E-05	0.000217463	argO2	tRNA
ECs5430	188.7927945	-1.273803021	0.443656389	-2.871147698	0.004089844	0.008985364	argO3	tRNA
ECs5436	16.68480877	0.778729251	0.979665282	0.794893179	0.426675642	0.537468223	argO4	tRNA
ECs5447	6.328910438	1.771195571	1.502295058	1.178993142	0.238400907	0.335985019	argO5	tRNA
ECs5453	0.245049013	0.629893618	1.676499011	0.375719648	0.707125329	NA	argO6	tRNA
ECs5471	4.302250953	0.628624512	1.59229088	0.394792509	0.692996024	0.775106595	argO7	tRNA
ECs5505	53.99090968	2.907456274	0.677987994	4.288359527	1.80E-05	5.62E-05	argQ	tRNA
ECs2586	10258.1344	2.269129046	0.322989415	7.025397559	2.13E-12	1.32E-11	argS	arginyl-tRNA synthetase
ECs5379	16.80446245	-0.925532994	1.02268225	-0.905005434	0.365462508	0.475875471	argU	tRNA
ECs5508	126.4594808	3.638476503	0.527861301	6.892864652	5.47E-12	3.29E-11	argV	tRNA
ECs5488	43.36888513	-0.293235525	0.807486277	-0.36314614	0.716495719	0.793814257	argW	tRNA
ECs5550	498.1968538	-2.023624023	0.416686687	-4.856464304	1.20E-06	4.37E-06	argX	tRNA
ECs5507	447.745545	2.851566845	0.437789196	6.513561478	7.34E-11	4.00E-10	argY	tRNA
ECs5506	268.0206235	3.204354276	0.515442065	6.216710842	5.08E-10	2.56E-09	argZ	tRNA
ECs3145	548.1176953	0.046331916	0.380802171	0.121669255	0.903160963	0.933536719	arnT	4-amino-4-deoxy-L-arabinose lipid A transferase
ECs4231	11422.52911	1.586758811	0.32459377	4.888445064	1.02E-06	3.74E-06	aroB	3-dehydroquinate synthase
ECs2400	1226.134684	0.487887655	0.29204431	1.670594627	0.094801774	0.154266786	aroD	3-dehydroquinase
ECs2399	43.3484182	1.454220554	0.848276554	1.714323644	0.086469303	0.141989211	aroE	quinate/shikimate dehydrogenase
ECs4147	2568.224156	1.444272203	0.279291708	5.171196138	2.33E-07	9.23E-07	aroE	shikimate 5-dehydrogenase
ECs0782	11512.294	-0.1712513	0.292967736	-0.584539794	0.5588572	0.663489595	aroG	phospho-2-dehydro-3-deoxyheptonate aldolase
ECs4232	14843.65135	0.791339145	0.249516013	3.171496426	0.001516557	0.003593105	aroK	shikimate kinase I
ECs0438	2282.22694	0.059624519	0.268534405	0.222036798	0.824285238	0.876978531	aroL	shikimate kinase
ECs0944	5800.457195	3.453291891	0.351273644	9.830774251	8.30E-23	1.02E-21	artM	arginine transporter permease ArtM
ECs0947	6339.06945	2.063519034	0.350589453	5.885856	3.96E-09	1.86E-08	artP	arginine transporter ATP-binding protein
ECs0704	8808.960969	2.001503842	0.346276296	5.780077541	7.47E-09	3.41E-08	asnB	asparagine synthetase B
ECs1013	18175.53036	2.056858278	0.334376042	6.151332694	7.68E-10	3.81E-09	asnC	asparaginyl-tRNA synthetase
ECs5475	4718.861926	-4.229503208	0.276614651	-15.29023567	8.88E-53	4.18E-51	asnT	tRNA
ECs5477	3.853473343	-1.152429599	1.49084222	-0.773005744	0.439518981	0.550488642	asnU	tRNA
ECs5478	9.519714215	-0.079475641	1.32714184	-0.059884813	0.952247375	0.968906331	asnV	tRNA
ECs5476	14.43065659	5.353446874	1.290705299	4.147691095	3.36E-05	0.000100865	asnW	tRNA
ECs5120	393922.796	-4.494824307	0.353343868	-12.72082158	4.53E-37	1.20E-35	aspA	aspartate ammonia-lyase
ECs2576	20285.0778	1.639255154	0.314460665	5.212910024	1.86E-07	7.41E-07	aspS	aspartyl-tRNA synthetase
ECs5547	0	NA	NA	NA	NA	NA	aspT	tRNA
ECs5371	183.9793413	1.896400049	0.557337474	3.402606386	0.000667464	0.001684699	aspU	tRNA
ECs5372	144.1525269	-0.203832105	0.451627839	-0.451327592	0.651753461	0.742175679	aspV	tRNA
ECs2452	1568.864285	-4.759530104	0.311984728	-15.25565092	1.51E-52	7.04E-51	astD	succinylglutamic semialdehyde dehydrogenase
ECs4673	3416.151952	2.860100241	0.306373302	9.335344253	1.01E-20	1.11E-19	atpC	ATP synthase F0F1 subunit epsilon
ECs4455	9643.622411	1.976897477	0.281518485	7.022265259	2.18E-12	1.35E-11	avtA	valine--pyruvate transaminase
ECs3342	4143.387198	0.543542248	0.276584735	1.965192506	0.049391961	0.086938209	bcp	thioredoxin-dependent thiol peroxidase
ECs4413	678.5207746	1.221906764	0.331996935	3.680476042	0.000232799	0.000627096	bcsA	cellulose synthase catalytic subunit
ECs0855	1264.073177	6.001359793	0.467693062	12.83183413	1.09E-37	2.97E-36	bioC	biotin biosynthesis protein BioC
ECs0856	1066.543274	5.9575488	0.363146563	16.4053564	1.75E-60	1.01E-58	bioD	dithiobiotin synthetase
ECs2299	783.4335152	-1.77660035	0.373825371	-4.752487361	2.01E-06	7.12E-06	bioD	dithiobiotin synthetase
ECs4900	2725.057175	0.322435947	0.330387357	0.975933067	0.329097634	0.437046183	birA	biotin--protein ligase
ECs4897	5868.828135	-0.333671998	0.258788979	-1.28935938	0.197273176	0.287382335	btuB	vitamin B12/cobalamin outer membrane transporter
ECs2417	999.6985013	0.645879239	0.285160978	2.264963614	0.023514912	0.044488339	btuE	glutathione peroxidase
ECs5114	972.1739022	-1.77948422	0.403111676	-4.414370327	1.01E-05	3.27E-05	cadB	lysine/cadaverine antiporter
ECs0040	666.9398246	1.436012928	0.355671071	4.037474639	5.40E-05	0.000158743	caiC	crotonobetaine/carnitine-CoA ligase
ECs0035	9230.018439	6.042950677	0.354310064	17.0555434	3.18E-65	2.15E-63	carA	carbamoyl phosphate synthase small subunit
ECs0036	11334.60126	4.960303189	0.380579336	13.03355891	7.88E-39	2.24E-37	carB	carbamoyl phosphate synthase large subunit
ECs2783	714.9104889	0.147334459	0.356692892	0.413056896	0.679564929	0.764505359	cbl	transcriptional regulator Cbl
ECs3939	12467.70509	1.199993263	0.357084225	3.360532838	0.000777923	0.001939965	cca	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
ECs0663	617.5213061	-1.487031348	0.405067092	-3.671074195	0.000241533	0.000649977	ccrB	camphor resistance protein CrcB
ECs0177	5112.963685	1.034851107	0.25923743	3.99190466	6.55E-05	0.000189792	cdsA	CDP-diglyceride synthase
ECs4576	249.4072265	2.509821892	0.363435061	6.905833143	4.99E-12	3.01E-11	cesD	CesD type III secretion system protein
ECs1722	372.944549	-1.658372361	0.387656879	-4.277938693	1.89E-05	5.87E-05	chaB	cation transport regulator
ECs0656	12.09362005	5.740390746	1.423336144	4.033053449	5.51E-05	0.000161498	citD	citrate lyase subunit gamma
ECs0652	8.865585835	4.700864036	1.606566351	2.926031679	0.00343316	0.007654559	citG	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
ECs0653	148.4695407	4.224194614	1.356652816	3.113688752	0.001847643	0.004311432	citX	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
ECs0968	93040.4832	-2.639159024	0.272302071	-9.692027002	3.26E-22	3.89E-21	clpA	ATP-dependent Clp protease ATP-binding protein
ECs0491	37032.13424	-0.006992761	0.26577164	-0.026311163	0.979009151	0.986153371	clpP	ATP-dependent Clp protease proteolytic subunit
ECs0967	17290.92013	-1.233341547	0.381641519	-3.231675499	0.001230667	0.002951964	clpS	ATP-dependent Clp protease adaptor protein ClpS
ECs0492	109069.6518	0.914668611	0.296858364	3.081161668	0.002061947	0.00477443	clpX	ATP-dependent protease ATP-binding protein ClpX
ECs1749	5253.893251	-0.657031369	0.244931331	-2.682512547	0.007307141	0.015367156	cls	cardiolipin synthetase
ECs0993	5576.625195	2.743946176	0.295846747	9.274890461	1.78E-20	1.94E-19	cmk	cytidylate kinase
ECs3809	508.4929756	-5.456718595	0.399040494	-13.67459863	1.44E-42	4.61E-41	cmtB	mannitol phosphotransferase subunit EIIA
ECs4509	511.6980253	0.811085892	0.334441194	2.425197333	0.015300068	0.030032742	coaD	phosphopantetheine adenylyltransferase
ECs0107	3118.100283	-0.578304079	0.275522431	-2.098936473	0.035822501	0.06510884	coaE	dephospho-CoA kinase
ECs2787	363.6291588	-0.105767432	0.374829459	-0.282174812	0.777809471	0.841378423	cobS	adenosylcobinamide-GDP ribazoletransferase
ECs2786	1701.261445	-0.853614847	0.291180128	-2.931569723	0.003372537	0.007534924	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
ECs2788	421.1079574	-0.783475699	0.324371814	-2.415363064	0.015719532	0.030773416	cobU	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase
ECs0389	1349.615945	4.291103322	0.422779394	10.14974567	3.32E-24	4.46E-23	codB	cytosine permease
ECs0537	19087.70602	-0.026551549	0.340312982	-0.078020971	0.937811371	0.95841256	copA	copper exporting ATPase
ECs5191	8467.243727	-2.238310328	0.313534656	-7.138956692	9.40E-13	5.98E-12	cpdB	"bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic protein"
ECs4837	3534.556805	0.60727852	0.321582697	1.88840546	0.058971539	0.101714622	cpxA	two-component sensor protein
ECs4839	1022.016379	0.32378011	0.346950657	0.933216594	0.350708149	0.460208728	cpxP	repressor CpxP
ECs4838	2350.252943	-0.247305306	0.313717096	-0.788306753	0.430517298	0.541047413	cpxR	CpxR family transcriptional regulator
ECs0267	28226.47723	-2.485453635	0.322505194	-7.706708859	1.29E-14	9.39E-14	crl	DNA-binding transcriptional regulator Crl
ECs0275	55.95287653	0.736641273	0.828066277	0.889592166	0.373684914	0.484947625	cro	Cro
ECs1421	14.46427903	0.694469347	1.177422899	0.589821506	0.555310323	0.660939308	csgC	autoagglutination protein
ECs3401	20063.77297	-5.894776731	0.253181519	-23.28280811	6.62E-120	3.26E-117	csiE	stationary phase inducible protein CsiE
ECs0662	108202.7663	-0.303147647	0.275114849	-1.101894892	0.27050737	0.372688325	cspE	cold shock protein CspE
ECs5510	93559.03306	-3.305865773	0.357642562	-9.243490918	2.39E-20	2.58E-19	csrB	miscRNA
ECs4736	38861.87756	1.048646708	0.238255423	4.401355053	1.08E-05	3.46E-05	cyaA	adenylate cyclase
ECs4738	510.3934995	0.524115394	1.09899892	0.476902556	0.633431512	0.726475515	cyaY	frataxin-like protein
ECs0394	58.98380317	0.627941919	0.616098171	1.0192238	0.30809673	0.414307607	cynX	cyanate transporter
ECs1847	6210.479733	0.263507752	0.333259408	0.790698615	0.429119885	0.539792897	cysB	transcriptional regulator CysB
ECs4485	2762.930745	0.140652458	0.309414743	0.454575813	0.649414439	0.739979503	cysE	serine acetyltransferase
ECs4219	2733.755124	-1.046944358	0.33558034	-3.119802423	0.001809724	0.004232078	cysG	siroheme synthase
ECs3619	1561.14709	-1.387621211	0.45539247	-3.047088617	0.002310696	0.005309496	cysJ	sulfite reductase subunit alpha
ECs3292	167.2162722	1.041062967	0.508193854	2.048554815	0.040505667	0.072524049	cysM	cysteine synthase B
ECs3605	971.3898108	-1.592917788	0.326211899	-4.883076905	1.04E-06	3.84E-06	cysN	sulfate adenylyltransferase subunit 1
ECs0588	7732.088158	1.452004105	0.347627943	4.17689123	2.96E-05	8.99E-05	cysS	cysteinyl-tRNA synthetase
ECs5467	3.726695527	0.228481186	1.462456909	0.156231055	0.875850899	0.915277727	cysT	tRNA
ECs3294	710.5849983	-0.926032517	0.420245184	-2.203552956	0.027555799	0.051219696	cysW	sulfate/thiosulfate transporter permease
ECs2812	681.9800619	0.198797842	0.347896856	0.571427533	0.56770987	0.672082006	dacD	D-alanyl-D-alanine carboxypeptidase
ECs1685	9470.587515	-5.963481859	0.249832315	-23.86993798	6.29E-126	4.25E-123	dadX	pseudo
ECs3340	22140.28349	0.375577879	0.306055611	1.22715567	0.219764087	0.314056525	dapA	4-hydroxy-tetrahydrodipicolinate synthase
ECs0168	8985.838195	0.887271801	0.268852256	3.300220771	0.000966088	0.002363442	dapD	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
ECs4739	3306.228277	-0.901296368	0.25653879	-3.513294688	0.000442586	0.00114543	dapF	diaminopimelate epimerase
ECs2872	3408.951061	0.289049251	0.273080147	1.058477719	0.289837703	0.3947953	dcd	deoxycytidine triphosphate deaminase
ECs0660	430.982146	-0.010042106	0.427790614	-0.023474348	0.9812719	0.987054753	dcuC	C4-dicarboxylate transporter DcuC
ECs0431	3237.371922	1.053719582	0.293967269	3.584479277	0.000337751	0.000891604	ddl	D-alanyl-alanine synthetase A
ECs0096	7455.811771	-0.229438829	0.311650936	-0.736204523	0.46160624	0.571592813	ddl	D-alanine--D-alanine ligase
ECs0501	934.4887903	-1.969791414	0.39586479	-4.975919712	6.49E-07	2.44E-06	decR	LRP-like transcriptional regulator
