NAME	Log2FC
PYRL	7.925466585
PURE	6.617429713
PURM	6.380872455
GLNK	6.10150229
CARA	6.042950677
RPLW	6.011158357
RPLB	6.004577256
BIOC	6.001359793
RPLV	5.736415519
RPSS	5.72125339
RRFF	5.673793155
RPLC	5.646835997
PURN	5.402633503
RPLD	5.383187815
ASNW	5.353446874
PURT	5.225830419
PYRB	5.115677114
RPSC	5.006046358
CARB	4.960303189
PURH	4.793861496
RPLP	4.758809948
CITG	4.700864036
RRSE	4.617770515
TRMD	4.607933952
ETP	4.602943338
PHEU	4.581375164
REPFIB	4.580009669
GLTD	4.559942206
RPLO	4.525726653
RPSR	4.472266495
PROK	4.425699453
RPSE	4.413132515
RPLS	4.40333526
RPLI	4.374122286
RPMD	4.352265493
ENO	4.341424686
RPSF	4.337633295
GLTB	4.335939379
FIS	4.331470392
RNPA	4.297160576
CODB	4.291103322
RPSP	4.224719491
CITX	4.224194614
DPPF	4.205351777
PROM2	4.204180303
RIMM	4.195687248
RPSI	4.193995404
RNFD	4.150732246
RPLR	4.054773408
OXYS	4.029677258
RPST	4.01504374
LEUU	3.950900573
LIVM	3.934803722
DPPD	3.910352754
LYSY	3.902179878
DICF4	3.902129905
GRLA	3.897952296
TSF	3.892235582
RPSA	3.883043062
LIVF	3.86784713
RPLK	3.866438645
RPOB	3.837183172
RPLQ	3.780075994
RPLF	3.779127285
RPLA	3.769460994
LEUW	3.753488464
PROX	3.751540908
PYRG	3.74283823
PRFH	3.731206729
RPMC	3.72711774
RPSD	3.71593878
LIVG	3.690503481
RPSB	3.647428893
ARGV	3.638476503
RPSH	3.627829774
SECY	3.625207295
TUSB	3.612061911
METW	3.607021556
RPSN	3.578682373
RPLE	3.576876942
PRFC	3.563136202
MICF	3.558946791
RPLM	3.5450241
RPLX	3.537859493
SERV	3.520676837
LEUQ	3.494482648
RPMH	3.487862306
RPSQ	3.48457018
ARTM	3.453291891
PHES	3.434279666
LEUD	3.433746534
GUAA	3.418310801
RIMO	3.413075289
RPSL	3.398190359
RPME	3.377745968
QUEA	3.351900473
TGT	3.345222138
LYSZ	3.323595347
RPSM	3.297143946
LEUT2	3.266400935
RPMG	3.260341549
POTB	3.252599143
GLNX	3.230943436
FRUK	3.226451135
ARGZ	3.204354276
ALAU	3.178073545
PCNB	3.160032734
GLNU	3.155902623
RPLN	3.14738075
LPXK	3.146281525
INFB	3.145186996
THRT	3.139960806
HSCA	3.139828017
UPP	3.136186557
ARGC	3.13074388
THRA	3.104140643
LYSW	3.085081576
PURR	3.078460589
FEPA	3.072751924
TIG	3.07054536
HMUV	3.062941213
RPH	3.060499078
VALZ	3.054893224
GLNA	3.048161418
NIKD	3.037432828
DSBA	3.024851816
GLNV	3.023466111
RPMF	3.022833449
TOLA	3.017796868
SERT	2.999665789
FLGF	2.970413914
ENTE	2.965650196
GLTU	2.957716945
TRUB	2.951456528
RUVC	2.91841079
ARGQ	2.907456274
RPLL	2.898460742
WECC	2.864961797
ATPC	2.860100241
ARGY	2.851566845
RPMB	2.84634614
LEUZ	2.843556651
AMPG	2.839693904
METV	2.826034134
RBFA	2.823468972
ILEU	2.804463832
RECD	2.788755496
TUF	2.787309533
PGAD	2.771986239
SERX	2.765129915
HOLA	2.762522117
ESCU	2.7459095
PANF	2.744327832
CMK	2.743946176
RIMI	2.727643174
GLTV	2.718201353
IPK	2.716229789
MNMA	2.714624646
PYRH	2.714402847
HISR	2.706520841
XSEA	2.698801165
RPSO	2.691785614
FEOB	2.681648159
PRMA	2.677802316
ISCA	2.633694142
ACEF	2.626837373
RPSU	2.624288961
ISPD	2.606752248
RNHB	2.605631134
GLYS	2.597133324
LYSV	2.594612157
VALT	2.591868885
RRLA	2.572815129
PRFA	2.568965899
VALY	2.564789376
POTA	2.564339308
RPMA	2.549534087
INFA	2.543823028
UREA	2.527879238
RECB	2.520997321
GLTX	2.517260716
OPPD	2.514522871
HISH	2.511524004
RECR	2.511007728
CESD	2.509821892
DEGP	2.48037126
ANSA	2.472692112
MRCA	2.465613577
LOLD	2.448529007
SECE	2.430817722
METY	2.409138341
ARGO2	2.406059712
PDXA	2.382667621
METG	2.378074497
ACEE	2.37634718
TYRT	2.37163532
REPA2	2.367371124
NRDF	2.36469438
RRSB	2.347403749
RRSC	2.341313718
DNAE	2.338645537
FABA	2.331371738
MDOC	2.318875435
RLML	2.311384713
LPXD	2.309151418
PROY	2.307134116
ESCC	2.305042115
NUSG	2.29888885
ENTS	2.280935919
ALAS	2.280052241
AAT	2.27704378
NUSA	2.270357489
ARGS	2.269129046
SECF	2.266495369
RECX	2.2664525
HDEB	2.260865543
GLYA	2.254023825
RPLJ	2.253567464
ILEZ2	2.25197636
HSCB	2.250034678
FEOA	2.21688406
ESPA	2.211567472
RPLU	2.191056311
UREB	2.178917965
GLYT	2.172446659
RRSD	2.157927474
METT	2.147119624
NRDB	2.143162283
ISPF	2.129185899
TYRV	2.113101662
RRLC	2.09547295
ALAX	2.092919351
POTD	2.088497656
YAET	2.087415066
MEPA	2.075650064
NTPA	2.065287371
ARTP	2.063519034
ASNC	2.056858278
NADD	2.05551419
GREA	2.047387878
RNC	2.047076838
TOLB	2.04656727
REPA1	2.04145475
ILES	2.040340125
SERB	2.021488875
PRFB	2.020877975
ESCF(U)	2.014841827
ASNB	2.001503842
ARGN2	1.998305914
RUMB	1.987178456
TYRU	1.984315921
AVTA	1.976897477
RECO	1.971245423
LPXB	1.969998703
PGI	1.966418965
GLYQ	1.945785346
PHNH	1.940021415
PFKA	1.933296026
ACRD	1.926663421
GIDB	1.921457337
FLIP	1.9142022
MLTC	1.898669156
RRSG	1.898291344
ASPU	1.896400049
RPMI	1.895627565
RADC	1.895062841
MLTD	1.889347339
HISD	1.888843693
LYST	1.88589178
PURU	1.878281753
SECD	1.878176436
RLPB	1.873848856
APAH	1.872521023
PGK	1.858253014
ZRAP	1.850550667
LSPA	1.841700508
RPLT	1.84046587
ACPS	1.840219486
INFC	1.82715955
RPMJ	1.817613169
GLTW	1.811207289
PDHR	1.800134884
DNAG	1.791017285
GLNW	1.787745588
TBPA	1.778337019
GLYW	1.771764003
ARGO5	1.771195571
VALS	1.767999913
RDGC	1.748671634
ADK	1.729709666
ILEY	1.713769547
RRFG	1.703824494
SPAP	1.699847978
PHNG	1.692003484
PHET	1.686040867
TPIA	1.681068766
TORD	1.666904185
RRSA	1.663702368
DUT	1.651603135
ILVH	1.650450774
FLK	1.646411107
FABZ	1.644959123
ASPS	1.639255154
RCSF	1.636110032
ILEZ7	1.631755567
YAJC	1.621826913
LEUT1	1.614607
ILEX	1.593104447
EIVJ1	1.588250272
AROB	1.586758811
GLTP	1.577406598
GLYU	1.549876631
NIKC	1.545168067
THIK	1.538747837
RRFD	1.537090225
HISS	1.536459623
FLGC	1.529721207
ILEZ5	1.519289986
NHAR	1.500638423
DIPZ	1.50019649
MUKB	1.494426201
LEUS	1.477518006
SECG	1.464140015
RRFE	1.460266617
GPMA	1.458952329
GLNL	1.45527011
HISG	1.452992407
CYSS	1.452004105
AROE	1.444272203
NRDG	1.436696267
CAIC	1.436012928
FLIF	1.435218899
LNT	1.434430994
METU	1.433512095
FLIL	1.430420406
RSEP	1.425247489
LEUX	1.422947556
TRPT	1.408991659
PROA	1.39681192
LPDA	1.393810204
KSGA	1.393135837
METZ	1.384114387
OPPB	1.36815853
PSPG	1.36021932
APAG	1.348655729
FLGJ	1.342337447
TILS	1.33716486
RFAH	1.326774418
PDXK	1.325397941
SBCD	1.318719857
NADE	1.314976326
ENTF	1.312725307
DPIA	1.307765575
XERC	1.292951745
MUTL	1.288440419
LIPB	1.286646228
LOLB	1.285463303
PHNP	1.275705138
THYA	1.27158614
TUSD	1.257164519
PBPG	1.256665743
DNAA	1.249154724
GLTT	1.247295816
POTC	1.246969073
ILVM	1.245308612
SPR	1.240516112
RSMC	1.239583992
PHEA	1.222648245
BCSA	1.221906764
MURF	1.218017288
PYRE	1.212977032
PNTA	1.201547727
CCA	1.199993263
PARB	1.195413494
NHAB	1.174103706
DSRA	1.165552854
RECF	1.161981834
PSD	1.151115025
PNTB	1.150587746
KDPF	1.139847798
ALAV	1.120969874
EIVJ2	1.117536872
LETA	1.115193201
ETPD	1.110376978
HYFE	1.1095207
FLIR	1.102167989
TCCP	1.09605352
DEGS	1.085506624
OMPX	1.07625221
FLII	1.06591946
DSBG	1.057280493
CYAA	1.048646708
PAGP	1.048340867
CYSM	1.041062967
NUSB	1.034962727
CDSA	1.034851107
UVRC	1.029359299
PSTA	1.022635624
RFAD	1.000599881
TRNA25	0.999125949
ALAT	0.997175721
ARAJ	0.988379573
DJLA	0.981582472
RRMA	0.971714209
YCFS	0.96037675
MODA	0.950210796
ARGN5	0.950156149
FLGE	0.940231287
UVRD	0.928989396
TRNA51	0.928922262
MURC	0.921748309
NRDI	0.919126467
CLPX	0.914668611
GLNG	0.90279452
RHO	0.892616477
TRAX	0.891062508
YAFO	0.889101866
DAPD	0.887271801
TATE	0.880782565
RNE	0.874323945
HOFQ	0.869933011
TMK	0.865023316
RIBH	0.862155252
MURG	0.860996828
MOTB	0.855769325
PPIA	0.83908157
RUVB	0.828901295
UREC	0.825354651
ACPP	0.821556208
COAD	0.811085892
AROK	0.791339145
ARGO4	0.778729251
MURE	0.777428934
HEMG	0.774838752
MRAY	0.768289864
RLUD	0.762836406
ALR	0.753871911
HSLO	0.74091442
CRO	0.736641273
RECA	0.733179045
RSEB	0.72127568
METQ	0.707012522
CSGC	0.694469347
FLIN	0.688023324
LOLA	0.674829882
QUEF	0.671105091
HEMA	0.650547374
NHAA	0.648774138
MLTA	0.647373954
BTUE	0.645879239
GMK	0.641434671
ARGO6	0.629893618
ARGO7	0.628624512
CYNX	0.627941919
GLMU	0.627226888
THRW	0.622217453
PROL	0.621798754
GLYY	0.610528486
SSPB	0.610374519
CPXA	0.60727852
FINO	0.589346596
UVRA	0.565738366
RPOZ	0.548435003
IHFB	0.547257468
FOLA	0.543994253
BCP	0.543542248
FABG	0.539279864
CYAY	0.524115394
GYRB	0.519936441
UPPP	0.500707918
VALX	0.498583251
AROD	0.487887655
IS3	0.485613952
MURD	0.484670507
NUDC	0.484349781
FLIM	0.480692054
IRAD	0.464372874
GLMM	0.460803192
PSIB	0.457395198
TRKD	0.446124139
LIGA	0.443857358
MAZG	0.436833354
FLHC	0.434532779
FOLP	0.420671117
UNG	0.418712801
DICF2	0.418500434
MURB	0.399901183
DAPA	0.375577879
FLGG	0.366632937
PGAB	0.351344505
TDH	0.334696042
GLYX	0.332905588
CPXP	0.32378011
NFRB	0.323746108
BIRA	0.322435947
XERD	0.306970155
TLDD	0.306736215
PPID	0.303363428
DCD	0.289049251
ALAW	0.277188843
PANB	0.276651954
NIRD	0.273002603
OMPC	0.272252365
EMRE	0.268690581
UREE	0.264195823
CYSB	0.263507752
LPXC	0.262246252
IS629	0.258809789
NAPH	0.23287015
RIBA	0.231363363
CYST	0.228481186
PANC	0.211509149
NDK	0.210826343
DACD	0.198797842
TAGA	0.192995888
ESPY1	0.189204703
OMPL	0.180960566
NIKB	0.176888774
FLIH	0.168212254
TAUB	0.161830693
NUDE	0.159759688
THIQ	0.155508235
CBL	0.147334459
CYSE	0.140652458
FTSB	0.133729243
FRR	0.133231549
MODC	0.129660548
HSLU	0.116361944
PSTB	0.111099882
PSTC	0.103327384
NIKE	0.097306166
FMT	0.094231942
WCAD	0.085632493
UGPQ	0.078959897
GLPE	0.078775575
FLGI	0.076680923
SOLA	0.074990463
ILEZ6	0.070542441
