pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
tRNA charging	0.00130378096479791	0.0422120418848168	0.538778836875425	2.01503918087558	0	79	asnW, pheU, proK, leuU, lysY, leuW, metW, serV, lysZ, glnX, alaU, glnU, thrT, lysW, valZ, glnV, serT, gltU, leuZ, metV, serX, gltV, hisR, glyS, lysV, valT, valY, gltX, metY, metG, tyrT, alaS, argS, metT, tyrV, alaX, ileS, tyrU, glyQ, aspU, lysT, gltW, glnW, glyW, valS, pheT, aspS, glyU, hisS, leuS, cysS, metU, leuX, trpT, metZ
UMP biosynthesis	0.00167224080267559	0.0422120418848168	0.912528462160039	1.61593349171821	0	4	carA, pyrB, carB
superpathway of tetrahydrofolate biosynthesis and salvage	0.00167224080267559	0.0422120418848168	0.865653320173815	1.53292554730266	0	4	purN, purT
5-aminoimidazole ribonucleotide biosynthesis I	0.00174825174825175	0.0422120418848168	0.985807860262009	1.60924150079661	0	3	purM, purN, purT
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.00174825174825175	0.0422120418848168	0.985807860262009	1.60924150079661	0	3	purM, purN, purT
5-aminoimidazole ribonucleotide biosynthesis II	0.00185873605947955	0.0422120418848168	0.984732824427481	1.46571186052885	0	2	purM, purT
"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	0.00185873605947955	0.0422120418848168	0.984732824427481	1.46571186052885	0	2	purN, purT
inosine-5'-phosphate biosynthesis I	0.00185873605947955	0.0422120418848168	0.980370774263904	1.45921922770259	0	2	purE, purH
succinate to cytochrome <i>bo</i> oxidase electron transfer	0.00247524752475248	0.0422120418848168	-0.977049180327869	-1.8157070855523	0	4	sdhC, sdhA, sdhD, sdhB
succinate to cytochrome <i>bd</i> oxidase electron transfer	0.00247524752475248	0.0422120418848168	-0.977049180327869	-1.8157070855523	0	4	sdhC, sdhA, sdhD, sdhB
aerobic respiration (cytochrome c)	0.00247524752475248	0.0422120418848168	-0.977049180327869	-1.8157070855523	0	4	sdhC, sdhA, sdhD, sdhB
glycerol degradation I	0.00247524752475248	0.0422120418848168	-0.934426229508197	-1.73649838718928	0	4	glpA, glpK, glpC, glpD
glycerophosphodiester degradation	0.00255754475703325	0.0422120418848168	-0.913147693752277	-1.81493663065638	0	5	glpA, glpC, glpD, glpQ
superpathway of glyoxylate bypass and TCA	0.00255754475703325	0.0422120418848168	-0.87235301925949	-2.06061577710466	0	8	sdhC, sdhA, sdhB, fumC, gltA, sucA, sucC
TCA cycle I (prokaryotic)	0.00258397932816537	0.0422120418848168	-0.879483534345576	-2.15940118613777	0	9	sdhC, sdhA, sdhD, sdhB, fumC, gltA, sucA, sucC
glycerol and glycerophosphodiester degradation	0.00261780104712042	0.0422120418848168	-0.915653073110216	-1.94896653516495	0	6	glpA, glpK, glpC, glpD, glpQ
glutamine degradation I	0.00327332242225859	0.0469176213857065	0.762660188943909	1.66512984795426	1	8	carA, carB, gltD, gltB, pyrG, guaA, hisH, asnB
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	0.00327332242225859	0.0469176213857065	0.778814297620981	1.70039940694689	1	8	carA, pyrB, carB, pyrG, cmk, pyrH
glutamate biosynthesis III	0.00557620817843866	0.0685077004779607	0.960741548527808	1.4300023799844	2	2	gltD, gltB
glutamate biosynthesis I	0.00557620817843866	0.0685077004779607	0.960741548527808	1.4300023799844	2	2	gltD, gltB
glutamine degradation II	0.00557620817843866	0.0685077004779607	0.960741548527808	1.4300023799844	2	2	gltD, gltB
"superpathway of histidine, purine, and pyrimidine biosynthesis"	0.0061633281972265	0.0703764320785597	0.636425934753884	1.83016044686935	3	22	purE, purM, carA, purT, pyrB, carB, purH, pyrG, atpC, cmk, pyrH, hisH, nrdF, nrdB
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	0.00637958532695375	0.0703764320785597	0.663930296025503	1.66562804590593	3	14	purE, purM, purT, purH, guaA, atpC, hisH, nrdF, nrdB
superpathway of pyrimidine nucleobases salvage	0.00654664484451719	0.0703764320785597	0.813614433584146	1.54918264373723	3	5	pyrG, upp, cmk, pyrH
tryptophan degradation II (via pyruvate)	0.00954198473282443	0.0984732824427481	-0.998910675381264	-1.31334344739955	4	1	tnaA
arginine biosynthesis IV (archaebacteria)	0.0227272727272727	0.203440860215054	0.877729257641921	1.43281303060961	12	3	carA, carB, argC
crotonate fermentation (to acetate and cyclohexane carboxylate)	0.0236559139784946	0.203440860215054	-0.962922573609597	-1.44383620624178	10	2	fadB, fadA
glutaryl-CoA degradation	0.0236559139784946	0.203440860215054	-0.962922573609597	-1.44383620624178	10	2	fadB, fadA
superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	0.0236559139784946	0.203440860215054	-0.962922573609597	-1.44383620624178	10	2	fadB, fadA
pyruvate fermentation to butanoate	0.0236559139784946	0.203440860215054	-0.962922573609597	-1.44383620624178	10	2	fadB, fadA
ammonia assimilation cycle III	0.027972027972028	0.21722047597665	0.867903930131004	1.41677407877443	15	3	gltD, gltB, glnA
"fatty acid &beta;-oxidation III (unsaturated, odd number)"	0.0286259541984733	0.21722047597665	-0.989106753812636	-1.30045348990054	14	1	fadB
fatty acid &beta;-oxidation I	0.0286259541984733	0.21722047597665	-0.989106753812636	-1.30045348990054	14	1	fadB
valine degradation I	0.0286259541984733	0.21722047597665	-0.989106753812636	-1.30045348990054	14	1	fadB
mixed acid fermentation	0.0297029702970297	0.218953323903819	-0.846873117410445	-1.57379336762753	11	4	fumC, gltA
UTP and CTP <i>de novo</i> biosynthesis	0.0317725752508361	0.227703455964326	0.807108490128283	1.4292525600365	18	4	pyrG, cmk, pyrH
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	0.0351437699680511	0.2450565581556	0.610555276278644	1.51429946467004	21	13	carA, pyrB, carB, pyrG, cmk, pyrH, nrdF, nrdB
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	0.0396600566572238	0.269270910988519	-0.530536516949715	-1.56273564924535	13	16	sdhC, sdhD, sdhB, fumC, gltA, sucA, sucC
citrate lyase activation	0.0478170478170478	0.316328162482009	0.977124183006536	1.31982931973123	22	1	citG
superpathway of fucose and rhamnose degradation	0.0534883720930233	0.323420074349442	-0.876723181564683	-1.46830851600344	22	3	lldD, fucI
superpathway of ubiquinol-8 biosynthesis (prokaryotic)	0.0537634408602151	0.323420074349442	-0.928026172300982	-1.39151145131569	24	2	ubiA, ubiC
tryptophan biosynthesis	0.0537634408602151	0.323420074349442	-0.924062212103357	-1.38556776548852	24	2	ubiC
queuosine biosynthesis	0.0539033457249071	0.323420074349442	0.896401308615049	1.33423604579702	28	2	queA, tgt
glutamate degradation VII (to butanoate)	0.0581395348837209	0.334173492963663	-0.872594073124315	-1.46139321455598	24	3	fadB, fadA
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	0.0595813204508857	0.334173492963663	0.668890099841065	1.41798452874364	36	7	guaA, hisH, nrdF, nrdB
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	0.0595813204508857	0.334173492963663	0.668890099841065	1.41798452874364	36	7	guaA, hisH, nrdF, nrdB
proline degradation	0.0725190839694656	0.398083482215365	-0.97276688453159	-1.27897022740218	37	1	putA
glutamate degradation II	0.103053435114504	0.551450381679389	-0.962962962962963	-1.26608026990317	53	1	aspA
acetyl-CoA fermentation to butyrate II	0.106870229007634	0.551450381679389	-0.961873638344227	-1.26464805240328	55	1	fadA
acetoacetate degradation (to acetyl CoA)	0.106870229007634	0.551450381679389	-0.961873638344227	-1.26464805240328	55	1	fadA
superpathway of glycolysis and Entner-Doudoroff	0.117741935483871	0.595635673624288	0.650602409638554	1.31442817971543	72	6	eno, pgi, pfkA, pgk, tpiA, gpmA
sulfate reduction I (assimilatory)	0.125581395348837	0.604660506227401	-0.812819016211999	-1.36128382204248	53	3	cysN, cysJ
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	0.131182795698925	0.604660506227401	-0.880043620501636	-1.31956491329232	60	2	gatY, nagA
glyoxylate cycle	0.133587786259542	0.604660506227401	-0.953159041394335	-1.25319031240415	69	1	gltA
pyruvate fermentation to acetate and lactate II	0.133587786259542	0.604660506227401	-0.952069716775599	-1.25175809490426	69	1	lldD
L-lactaldehyde degradation (aerobic)	0.133587786259542	0.604660506227401	-0.952069716775599	-1.25175809490426	69	1	lldD
pyruvate fermentation to lactate	0.133587786259542	0.604660506227401	-0.952069716775599	-1.25175809490426	69	1	lldD
L-arabinose degradation I	0.137404580152672	0.607251908396947	-0.947712418300654	-1.2460292249047	71	1	araD
D-arabinose degradation I	0.141221374045802	0.607251908396947	-0.945533769063181	-1.24316478990492	73	1	fucI
