pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
 Metabolic Clusters	0.00134952766531714	0.0508474576271186	0.536144680980399	1.98255122882049	0	79	asnW, pheU, proK, leuU, lysY, leuW, metW, serV, lysZ, glnX, alaU, glnU, thrT, lysW, valZ, glnV, serT, gltU, leuZ, metV, serX, gltV, hisR, glyS, lysV, valT, valY, gltX, metY, metG, tyrT, alaS, argS, metT, tyrV, alaX, ileS, tyrU, glyQ, aspU, lysT, gltW, glnW, glyW, valS, pheT, aspS, glyU, hisS, leuS, cysS, metU, leuX, trpT, metZ
Aminoacyl-tRNA Charging 	0.00134952766531714	0.0508474576271186	0.536144680980399	1.98255122882049	0	79	asnW, pheU, proK, leuU, lysY, leuW, metW, serV, lysZ, glnX, alaU, glnU, thrT, lysW, valZ, glnV, serT, gltU, leuZ, metV, serX, gltV, hisR, glyS, lysV, valT, valY, gltX, metY, metG, tyrT, alaS, argS, metT, tyrV, alaX, ileS, tyrU, glyQ, aspU, lysT, gltW, glnW, glyW, valS, pheT, aspS, glyU, hisS, leuS, cysS, metU, leuX, trpT, metZ
Purine Nucleotide <i>De Novo</i> Biosynthesis 	0.00146412884333821	0.0508474576271186	0.683382828010313	1.82346779642751	0	16	purE, purM, purK, purL, purT, purH, guaA, atpC, hisH, nrdF, nrdB
5-Aminoimidazole Ribonucleotide Biosynthesis 	0.00166944908180301	0.0508474576271186	0.980561555075594	1.7472243004409	0	4	purM, purL, purN, purT
5-Aminoimidazole Ribonucleotide Biosynthesis	0.00166944908180301	0.0508474576271186	0.980561555075594	1.7472243004409	0	4	purM, purL, purN, purT
Inosine-5'-phosphate Biosynthesis	0.00170357751277683	0.0508474576271186	0.975188781014024	1.58814568637997	0	3	purE, purK, purH
 Electron Transfer	0.00248138957816377	0.0508474576271186	-0.971922246220302	-1.83031158809337	0	4	sdhC, sdhA, sdhD, sdhB
Aerobic Respiration 	0.00248138957816377	0.0508474576271186	-0.971922246220302	-1.83031158809337	0	4	sdhC, sdhA, sdhD, sdhB
Glycerol Degradation 	0.00265957446808511	0.0508474576271186	-0.911193677084555	-2.01755923297727	0	6	glpA, glpK, glpC, glpD, glpQ
Glycerol Degradation	0.00265957446808511	0.0508474576271186	-0.91073929544509	-2.01655314404684	0	6	glpA, glpC, gldA, glpD, glpQ
 TCA cycle	0.0027027027027027	0.0508474576271186	-0.867951524870592	-2.11430864146023	0	8	sdhC, sdhA, sdhB, fumC, gltA, sucA, sucC
TCA cycle	0.00282485875706215	0.0508474576271186	-0.875065259894728	-2.18374812069625	0	9	sdhC, sdhA, sdhD, sdhB, fumC, gltA, sucA, sucC
Superpathways 	0.00321543408360129	0.0534256740044521	-0.610876188704466	-2.07925273164321	0	27	sdhC, sdhA, sdhB, fumC, gltA, sucA, ubiA, ubiC, sucC
L-tryptophan Degradation	0.00392156862745098	0.0605042016806723	-0.998923573735199	-1.3250002805112	1	1	tnaA
|Fermentation| 	0.00481927710843374	0.0693975903614458	-0.959007551240561	-1.65012920082462	1	3	acs, fadB, fadA
UMP Biosynthesis	0.00667779632721202	0.0893300248138958	0.906256701605801	1.614823386953	3	4	carA, pyrB, carB
Fatty Acid and Lipid Degradation 	0.00744416873449132	0.0893300248138958	-0.929805615550756	-1.75099808594266	2	4	glpA, glpK, glpC, glpD
 Glycerol Degradation	0.00744416873449132	0.0893300248138958	-0.929805615550756	-1.75099808594266	2	4	glpA, glpK, glpC, glpD
Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis 	0.00949367088607595	0.107928047968021	0.774310415210053	1.67705804096922	5	8	carA, pyrB, carB, pyrG, cmk, pyrH
L-glutamine Degradation	0.0110759493670886	0.119620253164557	0.75727886499535	1.6401698657921	6	8	carA, carB, gltD, gltB, pyrG, guaA, hisH, asnB
Ethanol Degradation	0.0176470588235294	0.15267329731913	-0.989235737351991	-1.31215006227349	8	1	acs
Fermentation to Acetate	0.0176470588235294	0.15267329731913	-0.989235737351991	-1.31215006227349	8	1	acs
Fermentation of Pyruvate 	0.0182232346241458	0.15267329731913	-0.957974137931034	-1.46202508896335	7	2	fadB, fadA
 Fermentation of Pyruvate	0.0182232346241458	0.15267329731913	-0.957974137931034	-1.46202508896335	7	2	fadB, fadA
Folate Biosynthesis 	0.0183639398998331	0.15267329731913	0.859355594483673	1.53125213774667	10	4	purN, purT
L-glutamate Biosynthesis	0.019538188277087	0.15267329731913	0.954741379310345	1.40395977853601	10	2	gltD, gltB
|All-Trans-Farnesyl-PP-Biosynthesis|	0.019538188277087	0.15267329731913	0.954741379310345	1.40395977853601	10	2	gltD, gltB
Biotin Biosynthesis	0.0203252032520325	0.15267329731913	0.991388589881593	1.29169927732869	9	1	bioD
Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis 	0.020497803806735	0.15267329731913	0.594353818637524	1.5574807977468	13	15	carA, pyrB, carB, pyrG, cmk, pyrH, nrdF, nrdB
Pyrimidine Nucleotide Salvage 	0.026813880126183	0.193059936908517	0.809144624606678	1.54726523909751	16	5	pyrG, upp, cmk, pyrH
Fatty Acid Degradation	0.0294117647058824	0.198529411764706	-0.984930032292788	-1.30643885416784	14	1	fadB
L-valine Degradation	0.0294117647058824	0.198529411764706	-0.984930032292788	-1.30643885416784	14	1	fadB
 Pyruvate Fermentation to Ethanol	0.032258064516129	0.204933586337761	-0.842018817229869	-1.5856791060827	12	4	fumC, gltA
Fermentation to Short-Chain Fatty Acids 	0.032258064516129	0.204933586337761	-0.842018817229869	-1.5856791060827	12	4	fumC, gltA
L-arginine Biosynthesis	0.0374787052810903	0.227129337539432	0.872707659115426	1.42124984544402	21	3	carA, carB, argC
Biotin Biosynthesis 	0.0378548895899054	0.227129337539432	0.791573448680926	1.51366522632699	23	5	bioC, bioD, fabZ
Ammonia Assimilation 	0.0391822827938671	0.2287398130669	0.862998921251348	1.40543866051325	22	3	gltD, gltB, glnA
Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis	0.0417362270450751	0.237237501098322	0.802654289087317	1.4302182983692	24	4	pyrG, cmk, pyrH
 Ubiquinol Biosynthesis	0.0455580865603645	0.25232171018048	-0.923491379310345	-1.40939876405128	19	2	ubiA, ubiC
L-tryptophan Biosynthesis	0.0501138952164009	0.270615034168565	-0.919540345446718	-1.40336884068775	21	2	ubiC
L-proline Degradation	0.0607843137254902	0.320229555236729	-0.967707212055974	-1.28359402174523	30	1	putA
Carboxylate Degradation	0.0718085106382979	0.369300911854103	-0.691661990295946	-1.53147357111383	26	6	acs, fadB, fadA, gntK
Queuosine Biosynthesis and Salvage	0.0817051509769094	0.410425874674708	0.891163793103448	1.31046810028136	45	2	queA, tgt
L-glutamate Degradation	0.0941176470588235	0.461176470588235	-0.958019375672766	-1.27074380350751	47	1	aspA
Degradation/Utilization/Assimilation - Other	0.096078431372549	0.461176470588235	-0.956942949407966	-1.2693160014811	48	1	fadA
Generation of Precursor Metabolite and Energy	0.111764705882353	0.498269896193772	-0.948331539289559	-1.2578935852698	56	1	gltA
Pyrimidine Nucleotide Salvage	0.112436115843271	0.498269896193772	0.79494471691064	1.29460884666804	65	3	upp, cmk, ndk
Fermentation to Butanoate 	0.116847826086957	0.498269896193772	-0.687786760656038	-1.38734479262257	42	5	acs, fadB, fadA
 L-glutamate Degradation 	0.116847826086957	0.498269896193772	-0.687786760656038	-1.38734479262257	42	5	acs, fadB, fadA
Lactaldehyde Degradation	0.117647058823529	0.498269896193772	-0.947255113024758	-1.25646578324338	59	1	lldD
pyruvate fermentation to lactate	0.117647058823529	0.498269896193772	-0.947255113024758	-1.25646578324338	59	1	lldD
L-arabinose Degradation	0.131372549019608	0.539408543263965	-0.942949407965554	-1.25075457513773	66	1	araD
D-arabinose Degradation	0.133333333333333	0.539408543263965	-0.940796555435953	-1.24789897108491	67	1	fucI
Assimilatory Sulfate Reduction 	0.137349397590361	0.539408543263965	-0.809174117656768	-1.39231629445428	56	3	cysN, cysJ
2-Methylcitrate Cycle	0.137349397590361	0.539408543263965	-0.807982740021575	-1.39026633455303	56	3	acs, prpE, prpB
L-alanine Degradation	0.143507972665148	0.543819685888982	-0.862988003727527	-1.31706072530203	62	2	dadX
