pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
 Metabolic Clusters	0.00134589502018843	0.0508196721311475	0.536144680980399	1.99840253510561	0	79	asnW, pheU, proK, leuU, lysY, leuW, metW, serV, lysZ, glnX, alaU, glnU, thrT, lysW, valZ, glnV, serT, gltU, leuZ, metV, serX, gltV, hisR, glyS, lysV, valT, valY, gltX, metY, metG, tyrT, alaS, argS, metT, tyrV, alaX, ileS, tyrU, glyQ, aspU, lysT, gltW, glnW, glyW, valS, pheT, aspS, glyU, hisS, leuS, cysS, metU, leuX, trpT, metZ
Aminoacyl-tRNA Charging 	0.00134589502018843	0.0508196721311475	0.536144680980399	1.99840253510561	0	79	asnW, pheU, proK, leuU, lysY, leuW, metW, serV, lysZ, glnX, alaU, glnU, thrT, lysW, valZ, glnV, serT, gltU, leuZ, metV, serX, gltV, hisR, glyS, lysV, valT, valY, gltX, metY, metG, tyrT, alaS, argS, metT, tyrV, alaX, ileS, tyrU, glyQ, aspU, lysT, gltW, glnW, glyW, valS, pheT, aspS, glyU, hisS, leuS, cysS, metU, leuX, trpT, metZ
Purine Nucleotide <i>De Novo</i> Biosynthesis 	0.00155038759689922	0.0508196721311475	0.683382828010313	1.79702187263216	0	16	purE, purM, purK, purL, purT, purH, guaA, atpC, hisH, nrdF, nrdB
5-Aminoimidazole Ribonucleotide Biosynthesis	0.00164473684210526	0.0508196721311475	0.980561555075594	1.74133501740257	0	4	purM, purL, purN, purT
Inosine-5'-phosphate Biosynthesis	0.00168067226890756	0.0508196721311475	0.975188781014024	1.61825568598971	0	3	purE, purK, purH
 Electron Transfer	0.00253807106598985	0.0508196721311475	-0.971922246220302	-1.84651664033602	0	4	sdhC, sdhA, sdhD, sdhB
Aerobic Respiration 	0.00253807106598985	0.0508196721311475	-0.971922246220302	-1.84651664033602	0	4	sdhC, sdhA, sdhD, sdhB
 TCA cycle	0.0026525198938992	0.0508196721311475	-0.867951524870592	-2.07735623441612	0	8	sdhC, sdhA, sdhB, fumC, gltA, sucA, sucC
TCA cycle	0.0026525198938992	0.0508196721311475	-0.875065259894728	-2.20615034648091	0	9	sdhC, sdhA, sdhD, sdhB, fumC, gltA, sucA, sucC
Glycerol Degradation 	0.00273224043715847	0.0508196721311475	-0.912793543564185	-2.09630521514385	0	7	glpA, glpK, glpC, gldA, glpD, glpQ
UMP Biosynthesis	0.00328947368421053	0.055622009569378	0.906256701605801	1.6093803811636	1	4	carA, pyrB, carB
|Fermentation| 	0.00491400491400491	0.0674401740391588	-0.959007551240561	-1.6331786513335	1	3	acs, fadB, fadA
 Fermentation to Lactate 	0.0050761421319797	0.0674401740391588	-0.929805615550756	-1.76650091925479	1	4	glpA, glpK, glpC, glpD
Fatty Acid and Lipid Degradation 	0.0050761421319797	0.0674401740391588	-0.929805615550756	-1.76650091925479	1	4	glpA, glpK, glpC, glpD
Pyrimidine Nucleotide Salvage 	0.00638977635782748	0.0744	0.792710173110345	1.61505525456142	3	6	pyrG, upp, cmk, pyrH
Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis 	0.0064	0.0744	0.774310415210053	1.69505535027807	3	8	carA, pyrB, carB, pyrG, cmk, pyrH
L-tryptophan Degradation	0.00784313725490196	0.0826666666666667	-0.998923573735199	-1.32120890032586	3	1	tnaA
L-glutamine Degradation	0.008	0.0826666666666667	0.75727886499535	1.65777131050814	4	8	carA, carB, gltD, gltB, pyrG, guaA, hisH, asnB
|All-Trans-Farnesyl-PP-Biosynthesis|	0.0190641247833622	0.170877354157097	0.954741379310345	1.42639041754169	10	2	gltD, gltB
L-glutamate Biosynthesis	0.0190641247833622	0.170877354157097	0.954741379310345	1.42639041754169	10	2	gltD, gltB
Biotin Biosynthesis 	0.0192926045016077	0.170877354157097	0.791573448680926	1.5295507718356	11	5	bioC, bioD, fabZ
Fermentation to Short-Chain Fatty Acids 	0.0203045685279188	0.171665897554222	-0.842018817229869	-1.59971825270742	7	4	fumC, gltA
 Fermentation of Pyruvate	0.0258823529411765	0.200588235294118	-0.957974137931034	-1.46541780132782	10	2	fadB, fadA
Fermentation of Pyruvate 	0.0258823529411765	0.200588235294118	-0.957974137931034	-1.46541780132782	10	2	fadB, fadA
Ethanol Degradation	0.0333333333333333	0.240465416936005	-0.989235737351991	-1.30839545193908	16	1	acs
Ammonia Assimilation 	0.0336134453781513	0.240465416936005	0.862998921251348	1.432084677867	19	3	gltD, gltB, glnA
Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis 	0.0372093023255814	0.256330749354005	0.574044105641083	1.50950502618867	23	16	carA, pyrB, carB, pyrG, cmk, pyrH, nrdF, nrdB
Fatty Acid Degradation	0.0490196078431373	0.314401622718053	-0.984930032292788	-1.3027005859894	24	1	fadB
L-valine Degradation	0.0490196078431373	0.314401622718053	-0.984930032292788	-1.3027005859894	24	1	fadB
Folate Biosynthesis 	0.0591054313099042	0.366453674121406	0.699446159560799	1.4250406183752	36	6	purN, purT, glyA
 Ubiquinol Biosynthesis	0.0729411764705882	0.423970588235294	-0.923491379310345	-1.41266935403593	30	2	ubiA, ubiC
L-tryptophan Biosynthesis	0.0729411764705882	0.423970588235294	-0.919540345446718	-1.40662543789232	30	2	ubiC
Queuosine Biosynthesis and Salvage	0.0866551126516465	0.488419725854735	0.891163793103448	1.33140505113654	49	2	queA, tgt
 Pyruvate Fermentation to Ethanol	0.0901856763925729	0.489747899159664	-0.588291777826954	-1.40801825598126	33	8	fumC, gltA
L-proline Degradation	0.092156862745098	0.489747899159664	-0.967707212055974	-1.27992112219068	46	1	putA
Fermentation to Acetate 	0.105651105651106	0.538421052631579	-0.81984878934407	-1.39619290624593	42	3	acs, sucA
Degradation/Utilization/Assimilation - Other	0.111764705882353	0.538421052631579	-0.956942949407966	-1.26568395731648	56	1	fadA
Aromatic Compound Degradation 	0.114213197969543	0.538421052631579	-0.737580993520518	-1.40130096149945	44	4	mhpA, gabD, mhpD, mhpB
 L-glutamate Degradation 	0.115789473684211	0.538421052631579	-0.687786760656038	-1.41426209300349	43	5	acs, fadB, fadA
Fermentation to Butanoate 	0.115789473684211	0.538421052631579	-0.687786760656038	-1.41426209300349	43	5	acs, fadB, fadA
Lactaldehyde Degradation	0.125490196078431	0.550480232298414	-0.947255113024758	-1.25287050892969	63	1	lldD
pyruvate fermentation to lactate	0.125490196078431	0.550480232298414	-0.947255113024758	-1.25287050892969	63	1	lldD
Assimilatory Sulfate Reduction 	0.127764127764128	0.550480232298414	-0.809174117656768	-1.378014065123	51	3	cysN, cysJ
2-Methylcitrate Cycle	0.13022113022113	0.550480232298414	-0.807982740021575	-1.37598516293452	52	3	acs, prpE, prpB
L-arabinose Degradation	0.135294117647059	0.554987212276215	-0.942949407965554	-1.24717564298001	68	1	araD
D-arabinose Degradation	0.137254901960784	0.554987212276215	-0.940796555435953	-1.24432821000517	69	1	fucI
L-alanine Degradation	0.152941176470588	0.575424836601307	-0.862988003727527	-1.3201170396165	64	2	dadX
Molybdenum Cofactor Biosynthesis	0.152941176470588	0.575424836601307	-0.863980688672721	-1.32163555471226	64	2	moaA
Trehalose Biosynthesis	0.152941176470588	0.575424836601307	-0.934337997847147	-1.23578591108065	77	1	malS
Thiosulfate Disproportionation	0.156862745098039	0.575424836601307	-0.933261571582347	-1.23436219459323	79	1	sseA
Methylglyoxal Detoxification	0.16078431372549	0.575424836601307	-0.930032292787944	-1.23009104513097	81	1	gldA
Flavin Biosynthesis	0.162162162162162	0.575424836601307	-0.792154326136211	-1.3490295590828	65	3	ribB
Ubiquinol Biosynthesis	0.166666666666667	0.575424836601307	-0.928955866523143	-1.22866732864355	84	1	ubiA
Glycogen and Starch Biosynthesis	0.167058823529412	0.575424836601307	-0.853448275862069	-1.30552407047428	70	2	glgC, glgA
4-Hydroxybenzoate Biosynthesis	0.176470588235294	0.596791443850267	-0.922497308934338	-1.22012502971903	89	1	ubiC
Reductant Biosynthesis	0.187817258883249	0.605411764705882	-0.693091788590963	-1.31677768040653	73	4	grxA, pepN, ggt
L-glutamate Degradation 	0.190588235294118	0.605411764705882	-0.84375	-1.29068856967344	80	2	aspA, gabD
 Glycogen Degradation	0.192941176470588	0.605411764705882	-0.842672413793103	-1.28904018069557	81	2	malQ, glk
Glycan Degradation 	0.192941176470588	0.605411764705882	-0.842672413793103	-1.28904018069557	81	2	malQ, glk
<i>N</i>-acetylglucosamine degradation	0.195294117647059	0.605411764705882	-0.84051724137931	-1.28574340273982	82	2	nagA, nagB
Pyruvate Fermentation to Acetate 	0.202185792349727	0.616500940607364	-0.537599868263706	-1.23464217669788	73	7	acs, lldD
Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	0.215460526315789	0.625741825741826	0.680406668559615	1.20830349905544	130	4	nrdF, nrdB, ndk
Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	0.215460526315789	0.625741825741826	0.680406668559615	1.20830349905544	130	4	nrdF, nrdB, ndk
Carboxylate Degradation 	0.216901408450704	0.625741825741826	-0.41746099933133	-1.21114579844884	76	15	acs, fadB, fadA, gntK
Trehalose Degradation	0.218673218673219	0.625741825741826	-0.748651564185545	-1.27494486392064	88	3	glk, treF, galM
L-leucine Biosynthesis	0.233739837398374	0.655276914917797	0.896663078579117	1.18762612990618	114	1	leuD
 Thiamine Biosynthesis	0.236040609137056	0.655276914917797	-0.661987041036717	-1.25768300058442	92	4	thiC, thiG, thiF, thiH
Electron Transfer	0.244367417677643	0.665436149849604	0.785560344827586	1.17363274761613	140	2	aceF, aceE
Glycolysis	0.24685534591195	0.665436149849604	0.55614191190037	1.17938527978129	156	7	eno, pgi, pfkA, pgk, tpiA, gpmA
Cpx (Curated)	0.255131964809384	0.677922077922078	-0.374230686620087	-1.17669760761983	86	21	ftnB, ompF, yebE, spy, nlpE, yqjA
8-Amino-7-oxononanoate Biosynthesis	0.259868421052632	0.680782060785767	0.658728661412736	1.16980650439257	157	4	bioC, fabZ, acpP, fabG
 Sulfur Compound Metabolism	0.27843137254902	0.700650406504065	-0.865446716899892	-1.14466805588577	141	1	cysN
Activation 	0.27843137254902	0.700650406504065	-0.865446716899892	-1.14466805588577	141	1	cysN
 L-threonine Biosynthesis	0.282520325203252	0.700650406504065	0.869752421959096	1.15198308879255	138	1	thrA
Other Amino Acid Biosynthesis	0.282520325203252	0.700650406504065	0.869752421959096	1.15198308879255	138	1	thrA
Adenosylcobalamin Salvage from Cobinamide 	0.292383292383292	0.710466004583652	-0.701989094260104	-1.19547922300661	118	3	cobT, cobU
Arsenate Detoxification	0.294117647058824	0.710466004583652	-0.855758880516685	-1.13185460749899	149	1	grxA
Gluconeogenesis	0.299342105263158	0.713815789473684	0.646868250539957	1.14874413592967	181	4	eno, pgi, pgk, gpmA
 L-glutamine Biosynthesis	0.306910569105691	0.72259956776783	0.861141011840689	1.14057731563619	150	1	glnA
4-Aminobutanoate Degradation	0.323529411764706	0.752205882352941	-0.842841765339074	-1.11477000964994	164	1	gabD
Purine Riboucleotide <i>De Novo</i> Biosynthesis	0.339622641509434	0.759899434318039	0.529418769825637	1.12271470754416	215	7	guaA, atpC, hisH, adk, fliI, gmk
Lipopolysaccharide Biosynthesis 	0.345528455284553	0.759899434318039	0.846071044133477	1.12061721261255	169	1	wecC
UDP-sugar Biosynthesis	0.345528455284553	0.759899434318039	0.846071044133477	1.12061721261255	169	1	wecC
