pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
5-Aminoimidazole Ribonucleotide Biosynthesis	0.00186567164179104	0.0317596566523605	0.966386554621849	2.05867204930559	0	4	purM, purL, purN, purT
UMP Biosynthesis	0.00186567164179104	0.0317596566523605	0.887997994235164	1.89168262102601	0	4	carA, pyrB, carB
Inosine-5'-phosphate Biosynthesis	0.00187265917602996	0.0317596566523605	0.955974842767296	1.83680188023351	0	3	purE, purK, purH
Purine Nucleotide <i>De Novo</i> Biosynthesis 	0.00191938579654511	0.0317596566523605	0.660275206888125	2.17057734496873	0	12	purE, purM, purK, purL, purT, purH
L-tryptophan Degradation	0.00198019801980198	0.0317596566523605	-0.997912317327766	-1.3411418900864	0	1	tnaA
 TCA cycle	0.00205338809034908	0.0317596566523605	-0.782125759217443	-2.27481130656974	0	8	sdhC, sdhA, sdhB, fumC, gltA, sucA, sucC
TCA cycle	0.00209205020920502	0.0317596566523605	-0.796635539064822	-2.42060898678543	0	9	sdhC, sdhA, sdhD, sdhB, fumC, gltA, sucA
Glycerol Degradation 	0.00212765957446809	0.0317596566523605	-0.837552742616034	-2.13527631358836	0	6	glpA, glpK, glpC, gldA, glpD, glpQ
 Electron Transfer	0.00214592274678112	0.0317596566523605	-0.945378151260504	-2.02356703884497	0	4	sdhC, sdhA, sdhD, sdhB
Aerobic Respiration 	0.00214592274678112	0.0317596566523605	-0.945378151260504	-2.02356703884497	0	4	sdhC, sdhA, sdhD, sdhB
 Metabolic Clusters	0.00571428571428571	0.059549356223176	0.370528915812167	1.79305445406678	2	41	asnW, pheU, leuU, lysY, leuW, metW, serV, lysZ, alaU, glnU, thrT, lysW, glnV, serT, metV, gltV, glyS, lysV, valT, gltX, metY, metG, tyrT, alaS, argS, metT, alaX, ileS, glyQ, lysT, gltW, glyW, valS, pheT, aspS, hisS, leuS, cysS, trpT
Aminoacyl-tRNA Charging 	0.00571428571428571	0.059549356223176	0.370528915812167	1.79305445406678	2	41	asnW, pheU, leuU, lysY, leuW, metW, serV, lysZ, alaU, glnU, thrT, lysW, glnV, serT, metV, gltV, glyS, lysV, valT, gltX, metY, metG, tyrT, alaS, argS, metT, alaX, ileS, glyQ, lysT, gltW, glyW, valS, pheT, aspS, hisS, leuS, cysS, trpT
L-glutamine Degradation	0.00581395348837209	0.059549356223176	0.683333131696332	1.88480035482076	2	8	carA, carB, gltD, gltB, pyrG, guaA
|Fermentation| 	0.00641025641025641	0.059549356223176	-0.920335429769392	-1.74034782515967	2	3	acs, fadB, fadA
 Fermentation to Lactate 	0.00643776824034335	0.059549356223176	-0.863445378151261	-1.84819122881174	2	4	glpA, glpK, glpC, glpD
Fatty Acid and Lipid Degradation 	0.00643776824034335	0.059549356223176	-0.863445378151261	-1.84819122881174	2	4	glpA, glpK, glpC, glpD
Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis 	0.00770712909441233	0.0670973591748838	0.656187123460508	1.69907252995661	3	7	carA, pyrB, carB, pyrG, cmk, pyrH
|All-Trans-Farnesyl-PP-Biosynthesis|	0.0093984962406015	0.073209339137317	0.920502092050209	1.55370731869106	4	2	gltD, gltB
L-glutamate Biosynthesis	0.0093984962406015	0.073209339137317	0.920502092050209	1.55370731869106	4	2	gltD, gltB
 Fermentation of Pyruvate	0.0106157112526539	0.0748154888282277	-0.918410041841004	-1.51916714158337	4	2	fadB, fadA
Fermentation of Pyruvate 	0.0106157112526539	0.0748154888282277	-0.918410041841004	-1.51916714158337	4	2	fadB, fadA
Fermentation to Short-Chain Fatty Acids 	0.0148619957537155	0.0999806987068134	-0.901673640167364	-1.491483002329	6	2	fumC, gltA
Folate Biosynthesis 	0.0243445692883895	0.156652011073115	0.787296095916532	1.51270397983893	12	3	purN, purT, glyA
 Ubiquinol Biosynthesis	0.0318471337579618	0.196390658174098	-0.851464435146444	-1.4084305845659	14	2	ubiA, ubiC
Ammonia Assimilation 	0.0355805243445693	0.198868458274399	0.758909853249476	1.45816289615028	18	3	gltD, gltB, glnA
Pyrimidine Nucleotide Salvage 	0.0373134328358209	0.198868458274399	0.699579831932773	1.49029954873643	19	4	pyrG, upp, cmk, pyrH
2-Methylcitrate Cycle	0.0376237623762376	0.198868458274399	-0.979123173277662	-1.31589026454084	18	1	acs
Ethanol Degradation	0.0376237623762376	0.198868458274399	-0.979123173277662	-1.31589026454084	18	1	acs
Fatty Acid Degradation	0.0554455445544554	0.273531353135314	-0.970772442588727	-1.30466731985392	27	1	fadB
L-valine Degradation	0.0554455445544554	0.273531353135314	-0.970772442588727	-1.30466731985392	27	1	fadB
Queuosine Biosynthesis and Salvage	0.0676691729323308	0.323065728838225	0.809623430962343	1.36655620984873	35	2	queA, tgt
 L-glutamate Degradation 	0.0729613733905579	0.327220704903108	-0.683080595686485	-1.46212325349676	33	4	acs, fadB, fadA
Fermentation to Butanoate 	0.0729613733905579	0.327220704903108	-0.683080595686485	-1.46212325349676	33	4	acs, fadB, fadA
Fermentation to Acetate 	0.0833333333333333	0.36005657708628	-0.761840607137316	-1.44063523022468	38	3	acs, sucA
L-alanine Degradation	0.0851485148514852	0.36005657708628	-0.951983298538622	-1.27941569430836	42	1	dadX
Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis 	0.0940959409594096	0.386838868388684	0.450458081444806	1.4437505967312	50	11	carA, pyrB, carB, pyrG, cmk, pyrH, nrdF, nrdB
8-Amino-7-oxononanoate Biosynthesis	0.0977443609022556	0.390977443609023	0.772316844137345	1.30358675276006	51	2	bioC, fabZ
 Pyruvate Fermentation to Ethanol	0.100858369098712	0.392816805963406	-0.656155268394898	-1.40449001462327	46	4	fumC, gltA
L-proline Degradation	0.126732673267327	0.480212765957447	-0.937369519832985	-1.25977554110626	63	1	putA
Cpx (Curated)	0.129787234042553	0.480212765957447	-0.523185007771339	-1.33381994694372	60	6	ftnB, ompF, yebE, nlpE, psd
L-glutamate Degradation 	0.172277227722772	0.614049976426214	-0.918580375782881	-1.2345239155607	86	1	aspA
Degradation/Utilization/Assimilation - Other	0.174257425742574	0.614049976426214	-0.916492693110647	-1.23171817938897	87	1	fadA
Lactaldehyde Degradation	0.201980198019802	0.63519313304721	-0.897703549060543	-1.20646655384341	101	1	lldD
pyruvate fermentation to lactate	0.201980198019802	0.63519313304721	-0.897703549060543	-1.20646655384341	101	1	lldD
Pyruvate Fermentation to Acetate 	0.203904555314534	0.63519313304721	-0.525745672813574	-1.23466743413192	93	5	acs, lldD
D-arabinose Degradation	0.205940594059406	0.63519313304721	-0.88517745302714	-1.18963213681304	103	1	fucI
L-arabinose Degradation	0.205940594059406	0.63519313304721	-0.889352818371608	-1.1952436091565	103	1	araD
L-phenylalanine Biosynthesis 	0.206008583690987	0.63519313304721	-0.57563025210084	-1.23212748587449	95	4	pheA, pheA, aroE, aroB
Carboxylate Degradation 	0.216216216216216	0.642498095963443	-0.373312832363813	-1.25664978965754	103	12	acs, fadB, fadA, gntK
Biotin Biosynthesis 	0.220973782771536	0.642498095963443	0.624311037860825	1.19954588436009	117	3	bioC, fabZ
Trehalose Biosynthesis	0.223762376237624	0.642498095963443	-0.872651356993737	-1.17279771978267	112	1	malS
Thiosulfate Disproportionation	0.225742574257426	0.642498095963443	-0.870563674321503	-1.16999198361094	113	1	sseA
Methylglyoxal Detoxification	0.231683168316832	0.645589654506852	-0.864300626304802	-1.16157477509575	116	1	gldA
Ubiquinol Biosynthesis	0.235643564356436	0.645589654506852	-0.862212943632568	-1.15876903892402	118	1	ubiA
Glycogen and Starch Biosynthesis	0.239915074309979	0.645589654506852	-0.728033472803347	-1.20426005756495	112	2	glgC, glgA
4-Hydroxybenzoate Biosynthesis	0.263366336633663	0.654635527246992	-0.849686847599165	-1.14193462189365	132	1	ubiC
L-tryptophan Biosynthesis	0.263366336633663	0.654635527246992	-0.849686847599165	-1.14193462189365	132	1	ubiC
 Glycogen Degradation	0.265392781316348	0.654635527246992	-0.715481171548117	-1.18349695312417	124	2	malQ, glk
<i>N</i>-acetylglucosamine degradation	0.265392781316348	0.654635527246992	-0.713389121338912	-1.18003643571738	124	2	nagA, nagB
Glycan Degradation 	0.265392781316348	0.654635527246992	-0.715481171548117	-1.18349695312417	124	2	malQ, glk
Reductant Biosynthesis	0.278131634819533	0.674811179562145	-0.707112970711297	-1.16965488349699	130	2	grxA, pepN
L-alanine Biosynthesis	0.286624203821656	0.684199712348469	-0.702915208587201	-1.16271125048278	134	2	dadX
L-arginine Biosynthesis 	0.296641791044776	0.696872778962331	0.536001265272037	1.14183172140651	158	4	carA, carB, argC
Folate Transformations	0.346808510638298	0.801994680851064	-0.426160337552743	-1.0864630109442	162	6	metF, gcvT, thyA, lpdA, purU, glyA
 L-tryptophan Biosynthesis	0.363247863247863	0.814555814555814	-0.574423480083857	-1.0862307610336	169	3	ubiC, aroE, aroB
 L-tyrosine Biosynthesis	0.363247863247863	0.814555814555814	-0.574423480083857	-1.0862307610336	169	3	pheA, aroE, aroB
L-leucine Biosynthesis	0.372233400402414	0.818870122306348	0.820459290187891	1.096703049398	184	1	leuD
Flavin Biosynthesis	0.376237623762376	0.818870122306348	-0.810020876826722	-1.0886256346308	189	1	ribB
NAD Metabolism	0.388535031847134	0.833379488599649	-0.661087866108787	-1.09352350054748	182	2	pntB, pntA
Electron Transfer	0.400375939849624	0.840809563261924	0.625523012552301	1.05581474611051	212	2	aceF, aceE
T3SS (Curated)	0.43984962406015	0.840809563261924	0.411819523336493	1.02278276173701	233	6	grlA, escU, cesD, escC, espA
 L-threonine Biosynthesis	0.446680080482897	0.840809563261924	0.77035490605428	1.02972881737369	221	1	thrA
L-lysine Biosynthesis	0.446680080482897	0.840809563261924	0.77035490605428	1.02972881737369	221	1	thrA
L-methionine <i>De Novo</i> Biosynthesis 	0.446680080482897	0.840809563261924	0.77035490605428	1.02972881737369	221	1	thrA
Other Amino Acid Biosynthesis	0.446680080482897	0.840809563261924	0.77035490605428	1.02972881737369	221	1	thrA
Purine Riboucleotide <i>De Novo</i> Biosynthesis	0.449626865671642	0.840809563261924	0.486833880170654	1.03709152095404	240	4	guaA, atpC, hisH, adk
Anhydromuropeptide Recycling	0.457425742574257	0.840809563261924	-0.762004175365344	-1.02409370268104	230	1	nagA
|Respiration|	0.471337579617834	0.840809563261924	-0.615062761506276	-1.01739211759797	221	2	sucA, lpdA
Glycine Degradation	0.471337579617834	0.840809563261924	-0.615062761506276	-1.01739211759797	221	2	gcvT, lpdA
Molybdenum Cofactor Biosynthesis	0.473267326732673	0.840809563261924	-0.753653444676409	-1.01287075799412	238	1	moaA
 Sulfur Compound Metabolism	0.477227722772277	0.840809563261924	-0.751565762004175	-1.01006502182239	240	1	cysN
Activation 	0.477227722772277	0.840809563261924	-0.751565762004175	-1.01006502182239	240	1	cysN
Assimilatory Sulfate Reduction 	0.477227722772277	0.840809563261924	-0.751565762004175	-1.01006502182239	240	1	cysN
 L-glutamine Biosynthesis	0.482897384305835	0.840809563261924	0.755741127348643	1.0101946663666	239	1	glnA
Nucleic Acid Processing	0.482897384305835	0.840809563261924	0.757828810020877	1.01298525936762	239	1	rph
Arsenate Detoxification	0.520792079207921	0.876440460947503	-0.732776617954071	-0.984813396276832	262	1	grxA
Lipopolysaccharide Biosynthesis 	0.52112676056338	0.876440460947503	0.730688935281837	0.97670755035445	258	1	wecC
UDP-sugar Biosynthesis	0.52112676056338	0.876440460947503	0.730688935281837	0.97670755035445	258	1	wecC
Urea Degradation	0.552631578947368	0.886748120300752	0.566945606694561	0.956942462193811	293	2	ureA, ureB
Amino Acid Biosynthesis 	0.553191489361702	0.886748120300752	-0.362869198312236	-0.925107118229717	259	6	aspA, ansB, asnB, serB, glyA, ansA
 Pyrimidine Nucleotide Salvage	0.557344064386318	0.886748120300752	0.705636743215031	0.943220434342298	276	1	cmk
Trehalose Degradation	0.56039603960396	0.886748120300752	-0.713987473903967	-0.959561770731272	282	1	glk
Sugar Degradation 	0.569037656903766	0.886748120300752	-0.293911170872585	-0.893060862393835	271	9	lldD, fucI, gatY
Anaerobic Respiration	0.574468085106383	0.886748120300752	-0.356892121883631	-0.909869021482945	269	6	fumC, gltA
Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	0.575187969924812	0.886748120300752	0.560669456066946	0.946349003202736	305	2	nrdF, nrdB
Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	0.575187969924812	0.886748120300752	0.560669456066946	0.946349003202736	305	2	nrdF, nrdB
Chorismate Biosynthesis 	0.581740976645435	0.887604789108499	-0.573221757322176	-0.948181769462058	273	2	aroE, aroB
CDP-diacylglycerol Biosynthesis	0.625742574257426	0.92609900990099	-0.678496868475992	-0.911864255811881	315	1	cdsA
Phosphatidylglycerol Biosynthesis 	0.625742574257426	0.92609900990099	-0.678496868475992	-0.911864255811881	315	1	cdsA
Phospholipid Biosynthesis 	0.625742574257426	0.92609900990099	-0.678496868475992	-0.911864255811881	315	1	cdsA
Gluconeogenesis	0.654850746268657	0.954878073918331	0.411764705882353	0.877173307964988	350	4	eno, pgi, pgk, gpmA
Metabolic Clusters 	0.659889094269871	0.954878073918331	0.364210526315789	0.855707839376226	356	5	cmk, nrdF, nrdB, dut, thyA
L-Ornithine Biosynthesis	0.664543524416136	0.954878073918331	-0.533665503535759	-0.882750689379355	312	2	argD
L-tyrosine Biosynthesis	0.687128712871287	0.955124968442312	-0.651356993736952	-0.875389685579406	346	1	pheA
Glycolysis	0.689788053949904	0.955124968442312	0.320516744404911	0.82991752861222	357	7	eno, pgi, pfkA, pgk, tpiA, gpmA
Generation of Precursor Metabolite and Energy 	0.714579055441478	0.955124968442312	-0.278116089161443	-0.808900124701711	347	8	gltA, ubiA, gpmA, tpiA, pgk, pfkA, pgi
L-histidine Biosynthesis	0.719745222929936	0.955124968442312	-0.510460251046025	-0.844366247258183	338	2	hisG, hisD
Lipoate Biosynthesis	0.734653465346535	0.955124968442312	-0.634655532359081	-0.852943796205575	370	1	lipB
 Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	0.742489270386266	0.955124968442312	-0.384453781512605	-0.822917262463621	345	4	thyA, dut, nrdB, nrdF
NAD Biosynthesis	0.75049504950495	0.955124968442312	-0.626304801670146	-0.84172085151866	378	1	nadE
 Thiamine Salvage	0.756435643564356	0.955124968442312	-0.622129436325679	-0.836109379175202	381	1	pdxK
Thiamine Salvage	0.756435643564356	0.955124968442312	-0.622129436325679	-0.836109379175202	381	1	pdxK
Fermentation to Alcohols 	0.763829787234043	0.955124968442312	-0.301327779562507	-0.768212003361516	358	6	fadA, gldA
Sucrose Biosynthesis 	0.764331210191083	0.955124968442312	-0.489539748953975	-0.809761073190225	359	2	pgk, pgi
L-proline Biosynthesis	0.774257425742574	0.955124968442312	-0.611691022964509	-0.822080698316558	390	1	proA
Sulfur Compound Metabolism 	0.787685774946921	0.955124968442312	-0.47489539748954	-0.785537451342654	370	2	cysN, serB
 Lipopolysaccharide Biosynthesis	0.788732394366197	0.955124968442312	0.603340292275574	0.806481377292675	391	1	lpxD
Fatty Acid and Lipid Biosynthesis	0.788732394366197	0.955124968442312	0.603340292275574	0.806481377292675	391	1	lpxD
Carnitine Degradation	0.794059405940594	0.955124968442312	-0.603340292275574	-0.810857753629642	400	1	caiC
Fermentation to Lactate 	0.796714579055442	0.955124968442312	-0.25740995577148	-0.748676374498218	387	8	lldD, glk, gpmA, tpiA, pgk, pfkA, pgi
L-asparagine Degradation	0.808917197452229	0.955124968442312	-0.464480327514594	-0.768309599552715	380	2	ansB
Glycine Biosynthesis	0.832997987927565	0.955124968442312	0.578288100208768	0.772994261280522	413	1	glyA
Tetrapyrrole Biosynthesis	0.845149253731343	0.955124968442312	0.3340909828119	0.711706681917801	452	4	gltV, gltX, gltW, hemC
3-Dehydroquinate Biosynthesis	0.851485148514851	0.955124968442312	-0.572025052192067	-0.768771711053709	429	1	aroB
L-isoleucine Biosynthesis 	0.860902255639098	0.955124968442312	0.441422594142259	0.745073282372303	457	2	thrA, ilvH
(5Z)-dodecenoate Biosynthesis	0.864661654135338	0.955124968442312	0.437238493723849	0.738010976378253	459	2	fabA, fabZ
Adenosylcobalamin Biosynthesis from Cobyrinate Diamide	0.864661654135338	0.955124968442312	0.437238493723849	0.738010976378253	459	2	fabA, fabZ
