pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
5-Aminoimidazole Ribonucleotide Biosynthesis,0.001865672,0.031759657,0.966386555,2.058672049,0,4,"purM, purL, purN, purT"
Inosine-5'-phosphate Biosynthesis,0.001872659,0.031759657,0.955974843,1.83680188,0,3,"purE, purK, purH"
|All-Trans-Farnesyl-PP-Biosynthesis|,0.009398496,0.073209339,0.920502092,1.553707319,4,2,"gltD, gltB"
L-glutamate Biosynthesis,0.009398496,0.073209339,0.920502092,1.553707319,4,2,"gltD, gltB"
UMP Biosynthesis,0.001865672,0.031759657,0.887997994,1.891682621,0,4,"carA, pyrB, carB"
L-leucine Biosynthesis,0.3722334,0.818870122,0.82045929,1.096703049,184,1,leuD
Queuosine Biosynthesis and Salvage,0.067669173,0.323065729,0.809623431,1.36655621,35,2,"queA, tgt"
Folate Biosynthesis ,0.024344569,0.156652011,0.787296096,1.51270398,12,3,"purN, purT, glyA"
8-Amino-7-oxononanoate Biosynthesis,0.097744361,0.390977444,0.772316844,1.303586753,51,2,"bioC, fabZ"
 L-threonine Biosynthesis,0.44668008,0.840809563,0.770354906,1.029728817,221,1,thrA
L-lysine Biosynthesis,0.44668008,0.840809563,0.770354906,1.029728817,221,1,thrA
L-methionine <i>De Novo</i> Biosynthesis ,0.44668008,0.840809563,0.770354906,1.029728817,221,1,thrA
Other Amino Acid Biosynthesis,0.44668008,0.840809563,0.770354906,1.029728817,221,1,thrA
Ammonia Assimilation ,0.035580524,0.198868458,0.758909853,1.458162896,18,3,"gltD, gltB, glnA"
Nucleic Acid Processing,0.482897384,0.840809563,0.75782881,1.012985259,239,1,rph
 L-glutamine Biosynthesis,0.482897384,0.840809563,0.755741127,1.010194666,239,1,glnA
Lipopolysaccharide Biosynthesis ,0.521126761,0.876440461,0.730688935,0.97670755,258,1,wecC
UDP-sugar Biosynthesis,0.521126761,0.876440461,0.730688935,0.97670755,258,1,wecC
 Pyrimidine Nucleotide Salvage,0.557344064,0.88674812,0.705636743,0.943220434,276,1,cmk
Pyrimidine Nucleotide Salvage ,0.037313433,0.198868458,0.699579832,1.490299549,19,4,"pyrG, upp, cmk, pyrH"
L-glutamine Degradation,0.005813953,0.059549356,0.683333132,1.884800355,2,8,"carA, carB, gltD, gltB, pyrG, guaA"
Purine Nucleotide <i>De Novo</i> Biosynthesis ,0.001919386,0.031759657,0.660275207,2.170577345,0,12,"purE, purM, purK, purL, purT, purH"
Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis ,0.007707129,0.067097359,0.656187123,1.69907253,3,7,"carA, pyrB, carB, pyrG, cmk, pyrH"
Electron Transfer,0.40037594,0.840809563,0.625523013,1.055814746,212,2,"aceF, aceE"
Biotin Biosynthesis ,0.220973783,0.642498096,0.624311038,1.199545884,117,3,"bioC, fabZ"
 Lipopolysaccharide Biosynthesis,0.788732394,0.955124968,0.603340292,0.806481377,391,1,lpxD
Fatty Acid and Lipid Biosynthesis,0.788732394,0.955124968,0.603340292,0.806481377,391,1,lpxD
Glycine Biosynthesis,0.832997988,0.955124968,0.5782881,0.772994261,413,1,glyA
Urea Degradation,0.552631579,0.88674812,0.566945607,0.956942462,293,2,"ureA, ureB"
Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis,0.57518797,0.88674812,0.560669456,0.946349003,305,2,"nrdF, nrdB"
Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis,0.57518797,0.88674812,0.560669456,0.946349003,305,2,"nrdF, nrdB"
L-arginine Biosynthesis ,0.296641791,0.696872779,0.536001265,1.141831721,158,4,"carA, carB, argC"
L-serine Biosynthesis,0.951710262,0.984986844,0.526096033,0.703229436,472,1,serB
L-asparagine Biosynthesis ,0.961770624,0.986545121,0.521920668,0.69764825,477,1,asnB
Carbohydrate Biosynthesis ,0.979879276,0.986545121,0.511482255,0.683695285,486,1,pgi
GDP-sugar Biosynthesis,0.979879276,0.986545121,0.511482255,0.683695285,486,1,pgi
UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis,0.979879276,0.986545121,0.511482255,0.683695285,486,1,pgi
Formaldehyde Assimilation,0.987927565,0.987927565,0.507306889,0.678114099,490,1,pfkA
Purine Riboucleotide <i>De Novo</i> Biosynthesis,0.449626866,0.840809563,0.48683388,1.037091521,240,4,"guaA, atpC, hisH, adk"
Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis ,0.094095941,0.386838868,0.450458081,1.443750597,50,11,"carA, pyrB, carB, pyrG, cmk, pyrH, nrdF, nrdB"
L-isoleucine Biosynthesis ,0.860902256,0.955124968,0.441422594,0.745073282,457,2,"thrA, ilvH"
(5Z)-dodecenoate Biosynthesis,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Adenosylcobalamin Biosynthesis from Cobyrinate Diamide,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Fatty Acid Biosynthesis ,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Palmitate Biosynthesis,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Stearate Biosynthesis,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Unsaturated Fatty Acid Biosynthesis,0.864661654,0.955124968,0.437238494,0.738010976,459,2,"fabA, fabZ"
Siderophore Biosynthesis ,0.864661654,0.955124968,0.433757796,0.732135937,459,2,"entE, entF"
T3SS (Curated),0.439849624,0.840809563,0.411819523,1.022782762,233,6,"grlA, escU, cesD, escC, espA"
