protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
ccmC__b2199__JW2187	yhiK__b3489__JW5674	P0ABM1	NoData	Y2H
cysM__b2421__JW2414	yliL__b0816__JW5969	P16703	NoData	Y2H
dnaK__b0014__JW0013	ygeP__b2862__JW2831	P0A6Y8	NoData	LIT
elbB__b3209__JW3176	yhiK__b3489__JW5674	P0ABU5	NoData	Y2H
eutP__b2461__JW2445	yncN__b4532__JW5230	P76556	NoData	Y2H
fepE__b0587__JW0579	yaiF__b0362__JW5814	P26266	NoData	Y2H
fklB__b4207__JW5746	ykgJ__b0288__JW0282	P0A9L3	NoData	Y2H
fklB__b4207__JW5746	yhiK__b3489__JW5674	P0A9L3	NoData	Y2H
folB__b3058__JW3030	yddJ__b1470__JW1466	P0AC16	NoData	LIT
ftsN__b3933__JW3904	ymgF__b4520__JW1156	P29131	NoData	LIT
ftsW__b0089__JW0087	ymgF__b4520__JW1156	P0ABG4	NoData	LIT
ftsZ__b0095__JW0093	ymgF__b4520__JW1156	P0A9A6	NoData	LIT
gapA__b1779__JW1768	yfjJ__b2626__JW2607	P0A9B2	NoData	LIT
groL__b4143__JW4103	rfbC__b2038__JW2023	P0A6F5	NoData	LIT
groL__b4143__JW4103	yjgZ__b4277__JW4236	P0A6F5	NoData	LIT
groS__b4142__JW4102	ydbA__b1401__JW5802+JW1402	P0A6F9	NoData	LIT
grpE__b2614__JW2594	ydbA__b1401__JW5802+JW1402	P09372	NoData	LIT
hcr__b0872__JW5117	yhiK__b3489__JW5674	P75824	NoData	Y2H
moaE__b0785__JW0768	yhiK__b3489__JW5674	P30749	NoData	Y2H
mtlD__b3600__JW3574	yncI__b1459_JW1453	P09424	NoData	LIT
murF__b0086__JW0084	yceQ__b1085__JW5154	P11880	NoData	LIT
NoData__b2858__JW5460	ygeP__b2862__JW2831	NoData	NoData	Y2H
nuoE__b2285__JW2280	nuoG__b2283__JW2278	P0AFD1	NoData	Y2H
phnB__b4107__JW4068	ymfM__b1148__JW1134	P16681	NoData	LIT
polA__b3863__JW3835	ydbA__b1401__JW5802+JW1402	P00582	NoData	LIT
priA__b3935__JW3906	priB__b4201__JW4159	P17888	NoData	LIT
rluD__b2594__JW2576	ymdF__b4518__JW5136	P33643	NoData	LIT
rpsD__b3296__JW3258	yddJ__b1470__JW1466	P0A7V8	NoData	LIT
secA__b0098__JW0096	gapC__b4493_JW1413	P10408	NoData	LIT
sgbE__b3583__JW3555	ykgJ__b0288__JW0282	P37680	NoData	Y2H
sixA__b2340__JW2337	yhiK__b3489__JW5674	P76502	NoData	Y2H
sufS__b1680__JW1670	yhiK__b3489__JW5674	P77444	NoData	Y2H
trmE__b3706__JW3684	yliL__b0816__JW5969	P25522	NoData	LIT
ubiF__b0662__JW0659	ydaC__b1347__JW1341	P75728	NoData	LIT
xerC__b3811__JW3784	yoeF__b4538__JW5328	P0A8P6	NoData	Y2H
yaiI__b0387__JW0378	yhiK__b3489__JW5674	P0A8D3	NoData	Y2H
ybdL__b0600__JW0593	yhiK__b3489__JW5674	P77806	NoData	Y2H
ybjM__b0848__JW0832	rmf__b0953__JW0936	P64439	NoData	Y2H
ycdP__b1021__JW1006	yliL__b0816__JW5969	P69432	NoData	Y2H
