Label	Type	Frame	Begin	End	Length	Evidence	Mutation	Gene	Synonyms	Product	Class	ProductType	Localization	Roles	ECnumber	MicroCycRid	MicroCycPid	RheaRid	AnnotatedRid	CreationDate	AmigeneStatus	PubmedID	Note	BioProcess	Matrix	Annotator	Atot	Ctot	Gtot	Ttot	GCtot	ATtot	A1	C1	G1	T1	GC1	AT1	A2	C2	G2	T2	GC2	AT2	A3	C3	G3	T3	GC3	AT3	CAI	MW	KD	Tiny	Small	Aliphatic	Aromatic	Non_Polar	Polar	Charged	Basic	Acidic	Pi	OI
ECs0001	CDS	+1	190	273	84	automatic/finished	no			Thr operon leader peptide (Thr operon attenuator)										2005-01-04 00:00:00	UNIQUE_BANK						0.321429	0.3690	0.142857	0.166667	0.511905	0.488095	0.785714	0.035714	0.142857	0.035714	0.178571	0.821429	0.071429	0.464286	0.214286	0.25	0.678571	0.321429	0.107143	0.607143	0.071429	0.214286	0.678571	0.321429	0.689451	2769.12	0.311111	0.62963	0.666667	0.222222	0	0.407407	0.592593	0.074074	0.074074	0	11.000786	8.851852
ECs0002	CDS	+3	354	2816	2463	automatic/finished	no	thrA	Hs, thrA1, thrA2, thrD	fused aspartokinase I ; homoserine dehydrogenase I	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.5.1.21 : Homoserine ; 1.5.1.8 : Threonine ; 7.1 : Cytoplasm ;	2.7.2.4, 1.1.1.3	ASPARTATEKIN-RXN$HOMOSERDEHYDROG-RXN	DAPLYSINESYN-PWY$HOMOSERSYN-PWY			2005-01-04 00:00:00	COMMON	1598232, 353521, 387092, 390305, 6298218, 7003595		1.2 : Aspartate family ;	1		0.224929	0.2477	0.280552	0.246853	0.528218	0.471782	0.233861	0.224117	0.389769	0.152253	0.613886	0.386114	0.282582	0.231425	0.171742	0.314251	0.403167	0.596833	0.158343	0.287454	0.280146	0.274056	0.5676	0.432399	0.466681	89075.595	0.041707	0.306098	0.52561	0.25	0.082927	0.580488	0.419512	0.234146	0.115854	0.118293	5.505653	9.478049
ECs0003	CDS	+1	2818	3750	933	automatic/finished	no	thrB		homoserine kinase	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.5.1.8 : Threonine ; 7.1 : Cytoplasm ;	2.7.1.39	RXN0-6564$HOMOSERKIN-RXN	HOMOSER-THRESYN-PWY			2005-01-04 00:00:00	COMMON			1.2 : Aspartate family ;	1		0.207931	0.2487	0.314041	0.229368	0.562701	0.437299	0.205788	0.237942	0.385852	0.170418	0.623794	0.376206	0.273312	0.231511	0.205788	0.289389	0.437299	0.562701	0.144695	0.276527	0.350482	0.228296	0.62701	0.37299	0.44751	33624.245	0.015806	0.319355	0.529032	0.225806	0.090323	0.612903	0.387097	0.216129	0.106452	0.109677	5.448296	9.851613
ECs0004	CDS	+1	3751	5037	1287	automatic/finished	no	thrC		threonine synthase	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.5.1.8 : Threonine ; 7.1 : Cytoplasm ;	4.2.3.1	THRESYN-RXN	HOMOSER-THRESYN-PWY			2005-01-04 00:00:00	COMMON	1598232, 6150934, 6316258, 9298646, 9600841		1.2 : Aspartate family ;	1		0.234654	0.2455	0.285936	0.233877	0.531469	0.468531	0.226107	0.251748	0.363636	0.158508	0.615385	0.384615	0.314685	0.240093	0.142191	0.30303	0.382284	0.617716	0.16317	0.244755	0.351981	0.240093	0.596737	0.403263	0.506206	47081.975	-0.090888	0.28271	0.5	0.228972	0.107477	0.57243	0.42757	0.238318	0.114486	0.123832	5.238304	9.163551
ECs0005	CDS	+1	5251	5547	297	automatic/finished	no	yaaX		conserved hypothetical protein; putative exported protein	4 : Unknown function but conserved in other organisms	u : unknown	1 : Unknown							2005-01-04 00:00:00	UNIQUE_BANK			18 : Unknown function ;			0.259259	0.2795	0.259259	0.20202	0.538721	0.461279	0.161616	0.383838	0.30303	0.151515	0.686869	0.313131	0.383838	0.20202	0.242424	0.171717	0.444444	0.555556	0.232323	0.252525	0.232323	0.282828	0.484848	0.515152	0.49988	11376.385	-1.070408	0.22449	0.44898	0.153061	0.234694	0.530612	0.469388	0.357143	0.285714	0.071429	10.158684	9.785714
ECO570004	CDS	-2	5327	5785	459	automatic/finished	no			conserved hypothetical protein										2005-01-04 00:00:00	UNIQUE_AMIGA			18 : Unknown function ;	1		0.220044	0.2462	0.267974	0.265795	0.514161	0.485839	0.235294	0.215686	0.372549	0.176471	0.588235	0.411765	0.248366	0.222222	0.248366	0.281046	0.470588	0.529412	0.176471	0.300654	0.183007	0.339869	0.48366	0.51634	0.353323	16333.925	0.047368	0.361842	0.611842	0.256579	0.092105	0.546053	0.453947	0.256579	0.164474	0.092105	8.615364	9.480263
ECs0006	CDS	-1	5700	6476	777	automatic/finished	no	yaaA		conserved hypothetical protein; family UPF0246	4 : Unknown function but conserved in other organisms	u : unknown	11 : Membrane	6.1 : Membrane ;						2005-01-04 00:00:00	COMMON			18 : Unknown function ;	1		0.268983	0.2394	0.249678	0.241956	0.48906	0.51094	0.289575	0.258687	0.281853	0.169884	0.540541	0.459459	0.355212	0.196911	0.150579	0.297297	0.34749	0.65251	0.162162	0.262548	0.316602	0.258687	0.579151	0.420849	0.460566	29598.775	-0.402713	0.236434	0.422481	0.213178	0.120155	0.51938	0.48062	0.267442	0.139535	0.127907	7.050682	9
ECs0007	CDS	-1	6546	7976	1431	automatic/finished	no	yaaJ		putative amino acid sodium/proton transporter	3 : Putative function from multiple computational evidences	t : transporter	5 : Inner membrane protein	4.2.A.25 : The Alanine/Glycine:Cation symporter (AGCS) Family ; 6.1 : Membrane ; 7.3 : Inner membrane ;						2005-01-04 00:00:00	COMMON			7 : Transport and binding proteins ;	1		0.18239	0.2530	0.27673	0.287911	0.5297	0.4703	0.249476	0.224319	0.324948	0.201258	0.549266	0.450734	0.165618	0.24109	0.215933	0.377358	0.457023	0.542977	0.132075	0.293501	0.289308	0.285115	0.582809	0.417191	0.423559	51683.825	0.696218	0.342437	0.510504	0.266807	0.134454	0.703782	0.296218	0.109244	0.067227	0.042017	9.059486	8.987395
ECs0008	CDS	+2	8255	9208	954	automatic/finished	no	talB	yaaK	transaldolase B	1b : Function from experimental evidences in the studied species	e : enzyme	2 : Cytoplasmic	1.7.3 : Pentose phosphate shunt, non-oxidative branch ; 7.1 : Cytoplasm ;	2.2.1.2	TRANSALDOL-RXN	PWY-6901$NONOXIPENT-PWY			2005-01-04 00:00:00	COMMON	11298760, 7592346, 8332529, 8805555, 9007983, 9298646		6.9 : Pentose phosphate pathway ;	2		0.265199	0.2495	0.267296	0.218029	0.516771	0.483229	0.267296	0.232704	0.371069	0.128931	0.603774	0.396226	0.342767	0.245283	0.138365	0.273585	0.383648	0.616352	0.185535	0.27044	0.292453	0.251572	0.562893	0.437107	0.713167	35217.9	-0.209779	0.290221	0.473186	0.236593	0.078864	0.542587	0.457413	0.271293	0.126183	0.14511	5.106392	9.246057
ECs0009	CDS	+2	9323	9910	588	automatic/finished	no	mogA	bisD, chlG, mogA, yaaG	molybdochelatase MogA, involved in Moco biosynthesis	1b : Function from experimental evidences in the studied species	f : factor	2 : Cytoplasmic	1.5.3.4 : Molybdenum (molybdopterin) ; 7.1 : Cytoplasm ;		RXN-8344	PWY-6823			2005-01-04 00:00:00	COMMON	10636880, 8088525, 876396		4.6 : Molybdopterin ;	1		0.232993	0.2432	0.295918	0.227891	0.539116	0.460884	0.244898	0.25	0.377551	0.127551	0.627551	0.372449	0.260204	0.25	0.183673	0.306122	0.433673	0.566327	0.193878	0.229592	0.326531	0.25	0.556122	0.443878	0.489681	21221.57	-0.013333	0.302564	0.523077	0.261538	0.061538	0.564103	0.435897	0.241026	0.107692	0.133333	4.936989	9.533333
