Gene ID	Name	Notes
ECs2630	ECs2630	['hypothetical', 'protein']
ECs4234	ECs4234	['hypothetical', 'protein']
ECs2833	ECs2833	['H', 'repeat-containing', 'protein']
ECs0793	modC	['molybdate', 'transporter', 'ATP-binding', 'protein']
ECO573526	NA
ECO570305	NA
ECs5275	ECs5275	['protein', 'FimC']
ECs1906	ECs1906	['hypothetical', 'protein']
ECs3480	ECs3480	['hypothetical', 'protein']
ECs3119	ECs3119	['2Fe-2S', 'ferredoxin']
ECs0385	prpB	['2-methylisocitrate', 'lyase']
ECs3896	dkgA	['2,5-diketo-D-gluconic', 'acid', 'reductase', 'A']
ECs4463	ECs4463	['hypothetical', 'protein']
ECs5075	phnP	['carbon-phosphorus', 'lyase', 'complex', 'accessory', 'protein']
ECs0570	ECs0570	['2-hydroxy-3-oxopropionate', 'reductase']
ECs4987	ECs4987	['hypothetical', 'protein']
ECs3562	ECs3562	['GutM', 'family', 'transcriptional', 'regulator']
ECs0750	ECs0750	['hypothetical', 'protein']
ECs3659	ECs3659	['L-1,2-propanediol', 'oxidoreductase']
ECs2141	ECs2141	['MFS-type', 'transporter', 'YdeE']
ECs4631	ECs4631	['hypothetical', 'protein']
ECs0074	ECs0074	['transcriptional', 'regulator', 'SgrR']
ECs0713	ECs0713	['hypothetical', 'protein']
ECs0891	ECs0891	['threonine', 'and', 'homoserine', 'efflux', 'system']
ECs2021	ECs2021	['aldehyde', 'dehydrogenase']
ECs0676	ECs0676	['PhpB', 'phosphohistidine', 'protein']
ECs2184	ECs2184	['endopeptidase']
ECs2941	ECs2941	['tail', 'fiber', 'protein']
ECs3046	ECs3046	['esterase']
ECs3637	ECs3637	['hypothetical', 'protein']
ECs2717	ECs2717	['tail', 'fiber', 'protein']
ECs1968	ECs1968	['DNase']
ECs1688	ldcA	['L,D-carboxypeptidase', 'A']
ECs2508	ECs2508	['LysR', 'family', 'transcriptional', 'regulator']
ECs4663	pstC	['phosphate', 'transporter', 'permease', 'PstC']
ECs4898	ECs4898	['glutamate', 'racemase']
ECs4954	ECs4954	['hypothetical', 'protein']
ECs2981	ECs2981	['DNA', 'methylase']
ECO573172	NA
ECs4666	ECs4666	['fimbrial', 'protein']
ECs1640	ECs1640	['major', 'tail', 'protein', 'V']
ECs0085	ECs0085	['cell', 'division', 'protein', 'MraZ']
ECs3982	ECs3982	['hypothetical', 'protein']
ECs0886	ECs0886	['hypothetical', 'protein']
ECs5358	ECs5358	['hypothetical', 'protein']
ECs1634	ECs1634	['major', 'capsid', 'protein']
ECs3795	ECs3795	['mechanosensitive', 'channel', 'MscS']
ECs4990	ECs4990	['tail', 'fiber', 'assembly', 'protein']
ECs5317	ECs5317	['hypothetical', 'protein']
ECs5127	ECs5127	['hypothetical', 'protein']
ECs2106	ECs2106	['oxidoreductase']
ECs0518	ECs0518	['potassium', 'efflux', 'protein', 'KefA']
ECs5564	ECs5564	['hypothetical', 'protein']
ECO574176	NA
ECO571296	NA
ECs4074	ECs4074	['ABC', 'transporter', 'ATP-binding', 'protein']
ECs3740	ECs3740	['xanthine', 'dehydrogenase', 'subunit', 'XdhB']
ECO571838	NA
ECs1322	ureA	['urease', 'subunit', 'gamma']
ECs0423	ECs0423	['delta-aminolevulinic', 'acid', 'dehydratase']
ECs4852	ECs4852	['glycerol', 'facilitator', 'protein']
ECs4123	ECs4123	['rod', 'shape-determining', 'protein', 'MreB']
ECs1734	purU	['formyltetrahydrofolate', 'deformylase']
ECO570273	NA
ECs4308	ECs4308	['hypothetical', 'protein']
ECs4065	rplU	['50S', 'ribosomal', 'protein', 'L21']
ECs3922	nudF	['ADP-ribose', 'pyrophosphatase']
ECs3035	ECs3035	['cytidine', 'deaminase']
ECs5425	tyrT	['tRNA']
ECs0039	ECs0039	['carnitinyl-CoA', 'dehydratase']
ECs1527	ECs1527	['hypothetical', 'protein']
ECs3434	ECs3434	['signal', 'peptidase', 'I']
ECs1219	ECs1219	['small', 'subunit', 'terminase']
ECs1864	ECs1864	['multidrug-efflux', 'transport', 'protein']
ECs2341	ECs2341	['electron', 'transport', 'complex', 'protein', 'RsxE']
ECs3907	ECs3907	['DNA-binding', 'transcriptional', 'regulator', 'QseB']
ECs5276	ECs5276	['protein', 'FimD']
ECs2684	fliM	['flagellar', 'motor', 'switch', 'protein', 'FliM']
ECs3942	ECs3942	['glycerol-3-phosphate', 'acyltransferase', 'PlsY']
ECs3109	ECs3109	['hypothetical', 'protein']
ECs2312	ECs2312	['short', 'chain', 'dehydrogenase']
ECs2758	ECs2758	['hypothetical', 'protein']
ECs3665	ECs3665	['FucR', 'family', 'transcriptional', 'regulator']
ECs0119	aceF	['dihydrolipoamide', 'acetyltransferase']
ECs2491	ECs2491	['scaffolding', 'protein', 'in', 'the', 'formation', 'of', 'a', 'murein-synthesizing', 'holoenzyme']
ECs5132	ECs5132	['fumarate', 'reductase', 'subunit', 'D']
ECs0138	panB	['3-methyl-2-oxobutanoate', 'hydroxymethyltransferase']
ECs3702	ECs3702	['transporter', 'protein']
ECs5489	alaX	['tRNA']
ECs1992	ECs1992	['tail', 'fiber', 'protein']
ECs2257	ECs2257	['endopeptidase']
ECs2868	ECs2868	['transporter']
ECs3416	ECs3416	['NAGC-like', 'transcriptional', 'regulator']
ECs1340	ECs1340	['hypothetical', 'protein']
ECs1119	ECs1119	['hypothetical', 'protein']
ECs2213	ECs2213	['hypothetical', 'protein']
ECs1711	ECs1711	['sulfate', 'transporter', 'YchM']
ECs1247	ECs1247	['hypothetical', 'protein']
ECs1282	ECs1282	['hemagglutinin/hemolysin-like', 'protein']
ECs4877	ECs4877	['PEP-protein', 'phosphotransferase', 'system', 'enzyme', 'I']
ECs4886	ECs4886	['acetylornithine', 'deacetylase']
ECs0077	ECs0077	['3-isopropylmalate', 'dehydrogenase']
ECs4923	ECs4923	['transcriptional', 'regulator', 'HU', 'subunit', 'alpha']
ECs1271	ECs1271	['hypothetical', 'protein']
ECs2179	ECs2179	['terminase', 'large', 'subunit']
ECs1460	flgK	['flagellar', 'hook-associated', 'protein', 'FlgK']
ECs2858	ECs2858	['GDP-D-mannose', 'dehydratase']
ECs0142	ECs0142	['fimbrial', 'protein']
ECs1469	ECs1469	['3-oxoacyl-ACP', 'synthase', 'III']
ECs2547	ECs2547	['hypothetical', 'protein']
ECs1658	ECs1658	['hypothetical', 'protein']
ECs1912	ECs1912	['hypothetical', 'protein']
ECs1146	ECs1146	['cold', 'shock', 'gene']
